"000c_the_summer_before" "001c_kristys_great_idea" "002c_claudia_and_the_phantom_phone_calls" "003c_the_truth_about_stacey" "004c_mary_anne_saves_the_day" "005c_dawn_and_the_impossible_three" "006c_kristys_big_day" "007c_claudia_and_mean_jeanine" "008c_boy_crazy_stacey" "009c_the_ghost_at_dawns_house" "010c_logan_likes_mary_anne" "011c_kristy_and_the_snobs" "012c_claudia_and_the_new_girl" "013c_goodbye_stacey_goodbye" "014c_hello_mallory" "015c_little_miss_stoneybrook_and_dawn" "016c_jessis_secret_language" "017c_mary_annes_bad_luck_mystery" "018c_staceys_mistake" "019c_claudia_and_the_bad_joke" "020c_kristy_and_the_walking_disaster" "021c_mallory_and_the_trouble_with_twins" "022c_jessi_ramsey_petsitter" "023c_dawn_on_the_coast" "024c_kristy_and_the_mothers_day_surprise" "025c_mary_anne_and_the_search_for_tigger" "026c_claudia_and_the_sad_goodbye" "027c_jessi_and_the_superbrat" "028c_welcome_back_stacey" "029c_mallory_and_the_mystery_diary" "030c_mary_anne_and_the_great_romance" "031c_dawns_wicked_stepsister" "032c_kristy_and_the_secret_of_susan" "033c_claudia_and_the_great_search" "034c_mary_anne_and_too_many_boys" "035c_stacey_and_the_mystery_of_stoneybrook" "036c_jessis_babysitter" "037c_dawn_and_the_older_boy" "038c_kristys_mystery_admirer" "039c_poor_mallory" "040c_claudia_and_the_middle_school_mystery" "041c_mary_anne_vs_logan" "042c_jessi_and_the_dance_school_phantom" "043c_staceys_emergency" "044c_dawn_and_the_big_sleepover" "045c_kristy_and_the_baby_parade" "046c_mary_anne_misses_logan" "047c_mallory_on_strike" "048c_jessis_wish" "049c_claudia_and_the_genius_of_elm_street" "050c_dawns_big_date" "051c_staceys_ex_best_friend" "052c_mary_anne_plus_too_many_babies" "053c_kristy_for_president" "054c_mallory_and_the_dream_horse" "055c_jessis_gold_medal" "056c_keep_out_claudia" "057c_dawn_saves_the_planet" "058c_staceys_choice" "059c_mallory_hates_boys_and_gym" "060c_mary_annes_makeover" "061c_jessi_and_the_awful_secret" "062c_kristy_and_the_worst_kid_ever" "063c_claudias_freind_friend" "064c_dawns_family_feud" "065c_staceys_big_crush" "066c_maid_mary_anne" "067c_dawns_big_move" "068c_jessi_and_the_bad_babysitter" "069c_get_well_soon_mallory" "070c_stacey_and_the_cheerleaders" "071c_claudia_and_the_perfect_boy"
"000c_the_summer_before" 0 0.977877672034381 0.984788675673756 0.959801068435626 0.923017981126191 0.955287617511499 1.03792357420913 0.965337289465938 0.995272497681202 0.980072687967638 0.918680976645417 0.999641841271746 1.01527037237743 1.00697646016462 1.03607111346853 1.00846910493068 1.01339952105712 0.988436917467159 0.982659450834261 0.932847659079062 1.07377226228283 1.08374035880394 1.02133907371492 1.04702449044029 1.00992405330706 0.989636634147739 0.911509119448811 1.10100573036112 0.984613833817316 1.1013343996941 0.966983019222655 1.02172874649783 1.00009660017504 0.971435828326765 1.0339811164288 1.10728648002614 1.07343732343263 1.11757492343891 1.03846040965958 1.05532118389561 1.13535871875011 0.938217194717499 1.08354417121527 0.980574912523148 1.04257372630636 1.11671223062069 0.976989225308553 1.07685102732705 1.09421165525124 1.03186196135762 1.00355814863485 1.00396146668434 1.03644461420227 1.09431741028464 1.05168106019871 1.08067566819341 1.04350267817592 1.1262831932678 0.996159102917548 1.00420038973236 1.02287190656939 1.05634478451362 1.06302191703575 1.02908554985871 1.07807821179051 1.00925982614728 1.00458892680261 1.02605941786371 1.11471273146216 1.0951895971615 0.952626526754098 1.09277174993818
"001c_kristys_great_idea" 0.977877672034381 0 0.843689789775973 0.876609654042826 0.846542856208686 0.843963087712543 0.931752170826339 0.881968654148756 0.970383203270433 1.02590678598708 0.875244708916829 0.927970115045338 0.984957184899801 0.975514672711697 0.937629614048274 0.959799480671707 1.00507172379087 0.967989491670348 0.999931283025627 0.897309874633645 1.05363038014474 1.05509802339844 0.967084318075804 1.07214628178235 0.935678943930568 0.927461154387901 1.01079782029582 1.12734212884781 0.973690242319551 1.04029855972 1.00651043181839 1.00757575406117 1.01465150212805 1.01829438854879 1.10426133143387 1.13715206009168 1.01008628592594 1.11055680259596 0.969141336948622 0.983468953796436 1.14325696423658 0.915169653748897 1.1032976214648 0.942966581561608 1.05698830688382 1.09086426307812 1.06793528666038 1.1184775766733 1.11093170343868 1.04495426033342 1.01129777283625 1.01152723055563 1.04957589363367 1.10361378606324 1.13422867904023 1.07391067849954 1.01058425639997 1.14747735651308 1.00838747618868 1.03918254197076 1.06309608423789 1.07866020631742 1.07434746432713 1.04254443718695 1.10397585523308 1.03088663139773 1.04209481960442 1.00082440207243 1.02015210937341 1.11337945246919 1.02741602484463 1.08175792916096
"002c_claudia_and_the_phantom_phone_calls" 0.984788675673756 0.843689789775973 0 0.938244222639868 0.857552639448669 0.910009709589761 1.04008261694084 0.92349730896798 1.07599065078883 0.965066747012955 0.920877676600984 0.959823228929669 0.965624159056762 1.0242292086661 1.02435995282441 0.9728667873965 1.03659609834914 0.946691751151572 1.05261693449052 0.912502035549821 1.1327127613363 1.09688005099506 1.01177938131333 1.07052756019187 1.04715162556082 0.930845255533971 1.00651703135435 1.08512877399164 1.02408956136026 1.02779701916102 1.08340964361108 1.03156633650451 0.960752493690347 1.00868083037937 1.12516492558159 1.11553642972715 1.06072456772549 1.09435061733374 1.00980901750673 1.05865303696606 1.08770629331709 0.966013426628059 1.10617252438384 0.989515646791847 1.06013574908258 1.12820860139265 1.01793215698252 1.08057541231843 1.13812807062129 1.01103373739703 1.00425095611796 1.03310760014134 1.06933839136413 1.09809644972398 1.0864009250246 1.07502847464089 1.00348917104591 1.11620790130666 1.04193061146784 1.04024443334579 1.01378476167862 1.04764963214084 1.07845044087629 1.03053432825256 1.14939043340294 1.01185852683174 1.0492915592979 1.05992923408629 1.044578609805 1.12880886306949 1.00769965770125 1.10765053751273
"003c_the_truth_about_stacey" 0.959801068435626 0.876609654042826 0.938244222639868 0 0.882811746706101 0.929011841319907 0.99505328245424 0.946203904562552 1.04706269843706 1.07919618794532 0.928001309112234 0.969123759706134 0.989159896814181 0.94864209073331 0.953957031956489 0.961052512269288 0.999456107340469 0.973024520829092 0.969549065152033 0.916355474313695 1.06499143154318 1.06995101573962 0.958528997011222 1.11166882773071 0.983927682182138 0.95396215884417 0.934196439971862 1.15018711734577 0.986250883379505 1.04617587003912 1.00587797866314 0.980975922004855 0.998063121872055 0.970710759151031 1.15387422604267 1.16931030160628 0.962470950212293 1.13283718823389 1.01787841487484 0.985487541796632 1.15159774760072 0.938199433151347 1.14726413553053 0.897104763523123 1.03421116615553 1.07574582986279 1.0425049750346 1.17311369992976 1.0219257835871 1.03610780308678 0.996880481765747 0.951467434063502 1.01227378481327 1.12346975443297 1.14027008032106 1.1200604988467 0.99021806843154 1.11931711053728 0.996427062745489 1.05006485288162 1.06848219954469 1.03207029585549 1.15170789302826 1.07170584123666 1.12142504267655 1.07702660194216 1.07197317675525 1.06013192965932 1.04155345346875 1.0673619502749 1.00518114398479 1.06667131547818
"004c_mary_anne_saves_the_day" 0.923017981126191 0.846542856208686 0.857552639448669 0.882811746706101 0 0.885047340706713 1.03700670287463 0.908761290785043 1.03067288917814 1.02819087829862 0.862456788315191 0.957066332444761 0.947656103427942 0.987422862887772 0.980187839110934 0.985331830559124 1.01940287575102 0.974226056578415 1.02586050135109 0.903106698425477 1.11626230199106 1.06760714496859 0.978652047132018 1.09376412541253 1.03072739799942 0.959185809369451 0.988763351399923 1.15473369845603 1.00372724517089 1.06631308131433 0.989602228137803 0.991324815439738 1.01204277280728 1.01755709971944 1.08865677797976 1.13900199085566 1.03602885096033 1.16227363674087 1.01889324823718 1.04707650000761 1.16810883727012 0.916314685509011 1.13379653968945 0.956484086783374 1.08749961748893 1.09198296061074 1.0335370314154 1.07121390452651 1.09992232945613 1.05094936343905 1.02708129945869 1.00374260214347 1.05115602569406 1.11737762020041 1.09317368995464 1.12019930413834 1.01565655711708 1.13761097057845 0.984963859221084 1.04387615472646 1.03014231762398 1.0907773940378 1.09100081298484 1.04339732305135 1.11333118077679 1.05383098240001 0.99234050842798 1.05029097275992 1.00357863923107 1.07629717717326 1.02866556283879 1.1283616422871
"005c_dawn_and_the_impossible_three" 0.955287617511499 0.843963087712543 0.910009709589761 0.929011841319907 0.885047340706713 0 0.911826512635896 0.890902701774738 0.929479622088592 0.96361150230616 0.910718457752673 0.891145543820629 1.00652377359438 0.894136418212092 0.965769833644665 0.949349252770544 0.998658427273626 0.949666906498984 0.97519248075837 0.900382313393381 1.03739370166534 1.02595307319084 0.958616351037348 1.01601229743874 0.968726175240628 0.924465339284089 0.982385162865695 1.08581383742188 0.971073244471586 0.986542739815216 0.961124930458395 0.961633465626421 0.976232897419605 0.993739867652894 1.08493462125277 1.09056628270083 0.988555830800135 1.09715377798811 0.944417267813569 0.970996695986251 1.15398679704219 0.889849600367429 1.04738029495474 0.976085666161761 1.00320586761721 1.06153830333857 1.02470491298898 1.02139078573631 1.0013677247411 1.00902709214802 0.988955391510616 0.988043918031264 0.9735052161336 1.09938360498526 1.05621091167375 1.07154769349128 0.985969221424898 1.07134305090936 0.957105989268571 1.02164689466264 1.04746777418845 1.0345272040259 1.0175530889012 1.0687952112865 0.999272701864519 1.00668518752625 0.990018429293254 1.0215072693386 0.992627018628011 1.05756511367618 1.02898927910079 1.10785831509414
"006c_kristys_big_day" 1.03792357420913 0.931752170826339 1.04008261694084 0.99505328245424 1.03700670287463 0.911826512635896 0 0.889638180206648 0.960023820207012 1.02241854384098 0.96292172636502 0.925966196200286 1.11866518486351 0.954338325389904 1.0685184403378 1.00180266597828 1.04693716553251 0.971817306268254 0.995006190265733 1.01213384408047 1.07712520989923 1.02882480097579 1.01588361760998 1.06291444802116 0.894868573899615 1.06771378702692 1.04427750465528 1.15105603257117 1.03379631867972 1.07462931517806 1.0116824007017 1.03488947813678 1.05568346514616 1.04829244388014 1.14108337576176 1.13956259037887 1.05647870250951 1.19432672362564 0.991437339994635 1.06830540666694 1.23839848944969 0.983026080281666 1.1046766662924 1.08229084226203 1.02986884354694 1.0500888644113 1.08376269284921 1.08995482742733 1.05490553777185 1.0743513772926 1.0884709408296 1.01240309492305 1.06234185878481 1.1361940010473 1.10585208087755 1.10076619023128 1.05189116207434 1.07665691278953 1.03367481134386 1.08433979705686 1.1079953192988 1.07421620994752 1.06839170374224 1.15050691774638 1.03753275177339 1.08048149749669 1.08869669891313 1.02841596105787 1.08156509038456 1.06307495094727 1.0652048798514 1.18020078799631
"007c_claudia_and_mean_jeanine" 0.965337289465938 0.881968654148756 0.92349730896798 0.946203904562552 0.908761290785043 0.890902701774738 0.889638180206648 0 0.979620177317908 1.02319106068155 0.964760703946683 0.915233512205264 0.995010195631609 0.933626890001399 1.00144406335977 0.911819993287386 0.985421675131084 0.959620998740128 0.995074034648938 0.92222591752389 1.03729845053042 1.02544840202042 0.98280437027905 1.05126687244083 0.955077177062668 0.950240046916717 0.926014629419586 1.10375987243054 1.00921730307519 1.02570185289832 0.987013293671593 1.0081697753622 0.971743367182173 0.987652407788383 1.0949152422628 1.10771150847219 1.00610802561561 1.09808572084947 0.962116427680211 1.0054261872839 1.14622535661047 0.925185229097961 1.0426355126395 0.96372908030272 1.02592690653457 1.01200815266196 1.01463617099891 1.06213205557469 1.06155620713865 0.989374959783783 1.03629661085129 1.00863521486939 1.00013352160504 1.05133426480413 1.03926822144603 1.09282749449639 0.992918265021252 1.07893423780487 1.02074535353648 1.02077037635444 1.07172696486354 1.04394200057731 1.05737809530823 1.04383051793717 1.06816339903756 1.0457358547135 1.03527182939111 1.03035368759632 1.01475979322285 1.02568585406629 1.02580599494885 1.10503122285544
"008c_boy_crazy_stacey" 0.995272497681202 0.970383203270433 1.07599065078883 1.04706269843706 1.03067288917814 0.929479622088592 0.960023820207012 0.979620177317908 0 0.945956809197734 0.960853575655082 0.989961811426631 1.14351501829162 0.996049054881121 1.06935957291945 1.01823780150274 1.07968631311744 1.0033547056345 0.972373083392231 1.05153326335193 1.05037714439629 1.08703803004279 1.0843864487809 1.06496529263347 1.03379803558584 1.0664582156272 1.10557777975856 1.18358156491366 1.08545261300967 1.12571425425434 1.08867313513525 1.07401099956716 1.1097269039392 1.11388899468491 1.01193087155565 1.12218698104115 1.1026354316127 1.15178932914924 1.02877490645539 1.12752357264035 1.20281091484085 1.03900335826113 1.12514067331628 1.10670156278108 1.04834164240086 1.11817154205531 1.14510945399324 1.09409502719029 1.14235779796259 1.10918929148077 1.07613254719786 1.06287520727788 1.12025558357512 1.16227163014168 1.07709706040477 1.07515733925618 1.14346164253411 1.14401308511163 1.06062253195715 1.08208638083782 1.09773638146453 1.12833601192274 1.10554411894336 1.14365515266606 1.01325743488293 1.04880490476917 1.08171785795484 1.02682679479214 1.09870073996833 1.10776561487618 1.07331311067115 1.17482599535669
"009c_the_ghost_at_dawns_house" 0.980072687967638 1.02590678598708 0.965066747012955 1.07919618794532 1.02819087829862 0.96361150230616 1.02241854384098 1.02319106068155 0.945956809197734 0 0.979527436353276 0.980844997441938 1.06243875349593 1.0212223530987 1.07362340230443 1.01585819733472 1.05603903891441 0.970707047837924 1.00450601076006 0.996355778580332 1.08273780305177 1.13701138980064 1.03600730641908 1.00759003601607 1.08405252018563 1.00618113603123 1.075862049543 1.16825371953264 1.06611599797235 1.02797825416296 1.08829866730788 1.01088770970235 1.10150867990642 1.08241884899491 1.09852107536241 1.07897593051317 1.11379016813274 1.1870747476971 1.03370505264557 1.10007430754258 1.18759014939177 1.03359829738934 1.0888074728895 1.07666031636811 1.04490573163824 1.12850467168194 1.08420727994705 1.10223861507348 1.20065430977774 1.11689275941624 1.07244965771848 1.10918778829368 1.13199618277078 1.15093387034636 1.11205463448128 1.0747901768669 1.14297477290709 1.19597079534143 1.11355587842377 1.0421835511093 1.04274454284526 1.12016523752066 1.0706772910927 1.10535101961207 1.10787459586494 1.02440604954828 1.03536567041097 1.0549148982395 1.11517515257993 1.16435935602754 1.04890284719088 1.18123916240926
