Source,Target,Weight,Type
000c_the_summer_before,004c_mary_anne_saves_the_day,18,undirected
000c_the_summer_before,008c_boy_crazy_stacey,2,undirected
000c_the_summer_before,009c_the_ghost_at_dawns_house,3,undirected
000c_the_summer_before,010c_logan_likes_mary_anne,2,undirected
000c_the_summer_before,026c_claudia_and_the_sad_goodbye,28,undirected
000c_the_summer_before,028c_welcome_back_stacey,2,undirected
000c_the_summer_before,033c_claudia_and_the_great_search,1,undirected
000c_the_summer_before,046c_mary_anne_misses_logan,7,undirected
001c_kristys_great_idea,002c_claudia_and_the_phantom_phone_calls,56,undirected
001c_kristys_great_idea,003c_the_truth_about_stacey,31,undirected
001c_kristys_great_idea,004c_mary_anne_saves_the_day,46,undirected
001c_kristys_great_idea,005c_dawn_and_the_impossible_three,25,undirected
001c_kristys_great_idea,006c_kristys_big_day,21,undirected
001c_kristys_great_idea,007c_claudia_and_mean_jeanine,21,undirected
001c_kristys_great_idea,010c_logan_likes_mary_anne,10,undirected
001c_kristys_great_idea,011c_kristy_and_the_snobs,12,undirected
001c_kristys_great_idea,024c_kristy_and_the_mothers_day_surprise,4,undirected
001c_kristys_great_idea,050c_dawns_big_date,1,undirected
002c_claudia_and_the_phantom_phone_calls,001c_kristys_great_idea,56,undirected
002c_claudia_and_the_phantom_phone_calls,003c_the_truth_about_stacey,6,undirected
002c_claudia_and_the_phantom_phone_calls,004c_mary_anne_saves_the_day,32,undirected
002c_claudia_and_the_phantom_phone_calls,005c_dawn_and_the_impossible_three,3,undirected
002c_claudia_and_the_phantom_phone_calls,009c_the_ghost_at_dawns_house,14,undirected
002c_claudia_and_the_phantom_phone_calls,010c_logan_likes_mary_anne,4,undirected
002c_claudia_and_the_phantom_phone_calls,012c_claudia_and_the_new_girl,1,undirected
002c_claudia_and_the_phantom_phone_calls,025c_mary_anne_and_the_search_for_tigger,11,undirected
002c_claudia_and_the_phantom_phone_calls,050c_dawns_big_date,2,undirected
003c_the_truth_about_stacey,001c_kristys_great_idea,31,undirected
003c_the_truth_about_stacey,002c_claudia_and_the_phantom_phone_calls,6,undirected
003c_the_truth_about_stacey,004c_mary_anne_saves_the_day,31,undirected
003c_the_truth_about_stacey,005c_dawn_and_the_impossible_three,1,undirected
003c_the_truth_about_stacey,007c_claudia_and_mean_jeanine,5,undirected
003c_the_truth_about_stacey,010c_logan_likes_mary_anne,2,undirected
003c_the_truth_about_stacey,013c_goodbye_stacey_goodbye,2,undirected
003c_the_truth_about_stacey,014c_hello_mallory,22,undirected
003c_the_truth_about_stacey,036c_jessis_babysitter,2,undirected
003c_the_truth_about_stacey,043c_staceys_emergency,2,undirected
003c_the_truth_about_stacey,052c_mary_anne_plus_too_many_babies,1,undirected
004c_mary_anne_saves_the_day,000c_the_summer_before,18,undirected
004c_mary_anne_saves_the_day,001c_kristys_great_idea,46,undirected
004c_mary_anne_saves_the_day,002c_claudia_and_the_phantom_phone_calls,32,undirected
004c_mary_anne_saves_the_day,003c_the_truth_about_stacey,31,undirected
004c_mary_anne_saves_the_day,005c_dawn_and_the_impossible_three,19,undirected
004c_mary_anne_saves_the_day,007c_claudia_and_mean_jeanine,11,undirected
004c_mary_anne_saves_the_day,010c_logan_likes_mary_anne,30,undirected
004c_mary_anne_saves_the_day,012c_claudia_and_the_new_girl,15,undirected
004c_mary_anne_saves_the_day,019c_claudia_and_the_bad_joke,1,undirected
004c_mary_anne_saves_the_day,041c_mary_anne_vs_logan,5,undirected
