"000c_the_summer_before" "001c_kristys_great_idea" "002c_claudia_and_the_phantom_phone_calls" "003c_the_truth_about_stacey" "004c_mary_anne_saves_the_day" "005c_dawn_and_the_impossible_three" "006c_kristys_big_day" "007c_claudia_and_mean_jeanine" "008c_boy_crazy_stacey" "009c_the_ghost_at_dawns_house" "010c_logan_likes_mary_anne" "011c_kristy_and_the_snobs" "012c_claudia_and_the_new_girl" "013c_goodbye_stacey_goodbye" "014c_hello_mallory" "015c_little_miss_stoneybrook_and_dawn" "016c_jessis_secret_language" "017c_mary_annes_bad_luck_mystery" "018c_staceys_mistake" "019c_claudia_and_the_bad_joke" "020c_kristy_and_the_walking_disaster" "021c_mallory_and_the_trouble_with_twins" "022c_jessi_ramsey_petsitter" "023c_dawn_on_the_coast" "024c_kristy_and_the_mothers_day_surprise" "025c_mary_anne_and_the_search_for_tigger" "026c_claudia_and_the_sad_goodbye" "027c_jessi_and_the_superbrat" "028c_welcome_back_stacey" "029c_mallory_and_the_mystery_diary" "030c_mary_anne_and_the_great_romance" "031c_dawns_wicked_stepsister" "032c_kristy_and_the_secret_of_susan" "033c_claudia_and_the_great_search" "034c_mary_anne_and_too_many_boys" "035c_stacey_and_the_mystery_of_stoneybrook" "036c_jessis_babysitter" "037c_dawn_and_the_older_boy" "038c_kristys_mystery_admirer" "039c_poor_mallory" "040c_claudia_and_the_middle_school_mystery" "041c_mary_anne_vs_logan" "042c_jessi_and_the_dance_school_phantom" "043c_staceys_emergency" "044c_dawn_and_the_big_sleepover" "045c_kristy_and_the_baby_parade" "046c_mary_anne_misses_logan" "047c_mallory_on_strike" "048c_jessis_wish" "049c_claudia_and_the_genius_of_elm_street" "050c_dawns_big_date" "051c_staceys_ex_best_friend" "052c_mary_anne_plus_too_many_babies" "053c_kristy_for_president" "054c_mallory_and_the_dream_horse" "055c_jessis_gold_medal" "056c_keep_out_claudia" "057c_dawn_saves_the_planet" "058c_staceys_choice" "059c_mallory_hates_boys_and_gym" "060c_mary_annes_makeover" "061c_jessi_and_the_awful_secret" "062c_kristy_and_the_worst_kid_ever" "063c_claudias_freind_friend" "064c_dawns_family_feud" "065c_staceys_big_crush" "066c_maid_mary_anne" "067c_dawns_big_move" "068c_jessi_and_the_bad_babysitter" "069c_get_well_soon_mallory" "070c_stacey_and_the_cheerleaders" "071c_claudia_and_the_perfect_boy"
"i" 4.84818056798585 4.31423940407628 3.93798024149286 4.26393370025938 5.20021289252059 3.88824513969358 3.29270446917506 3.86267670277217 3.96352022164929 4.27832972834256 4.31959768820836 3.5885598874743 5.08018473399033 3.67591615141004 4.31303669008587 3.95916334661355 3.62793038975982 3.61849622914603 3.60330084761585 4.27751882395124 4.03612442858736 3.80737798823799 4.2676833105082 3.64218768537193 3.39077471588799 4.27262356015162 4.09879887372135 4.18903194324537 5.072031051728 3.72096729213976 3.18772997194798 3.75749108423104 3.64001040002971 4.18428503143729 3.87065944568334 3.39236185193087 3.99411149420834 4.24087532944653 4.46104904934527 3.9588785046729 4.7478200745208 4.23943928774389 4.19462616166437 4.98280555953575 3.05161567616145 3.73278829604131 3.85323860005263 3.71689072274724 3.30549756437022 4.18966574670347 4.60566801619433 4.38420742486741 4.02507934050623 3.92963135123538 3.93693043991346 3.29629766343066 3.50973618090452 3.55922049547168 4.32934332699407 4.51513962694818 4.96882230675713 3.40015224562294 2.79495990836197 3.96131805157593 2.95034198065482 4.05268109125118 4.24472684396699 3.83501332406442 3.86579683131407 3.62416610448992 4.59538560948725 4.70342910101946
"the" 3.6585099648556 3.2899955167776 4.65148188803513 3.70405516543304 3.8164115087192 4.242307197116 4.42677972089737 3.59831099687902 4.44068187940124 4.87956886754408 3.94430683779929 3.93118620838893 3.58194843448853 4.00769114763987 3.96955503512881 4.24729652817302 3.87242916726593 3.97272796526244 4.26421716888839 3.69666547149516 4.21080016352622 4.03650805774078 4.43424510493393 4.58733736702654 3.72873802272896 3.45563610937328 3.69604733221656 4.29037949025938 3.52317683063372 3.80462929763754 3.91635396553609 3.60675024817089 3.90001114288898 3.77615178144648 3.66756928958267 4.09999288813029 3.57959167861155 3.28248542448686 4.03565880002959 3.30467289719626 3.59927783966504 3.4892972153817 3.66398068338153 3.36366241581889 4.15738678544915 3.84394721744119 3.76677568512462 4.30919739118861 3.89314157581381 3.84467954615149 3.60485829959514 3.86171675505795 3.51033361715303 3.76515178603354 4.52042221202386 3.98287254069617 3.93373115577889 4.69746625788491 3.75880971025842 4.38318056992047 3.76485352366759 3.74451734512633 4.28080510554737 3.76074498567335 4.28993484155571 3.89463781749765 4.02528494694091 3.90066813424478 3.88816402609506 4.14886440296829 3.97582576304687 3.35297232887594
"and" 3.5471829909847 2.86581370486602 2.48010428100988 2.65388751818814 2.68933345856423 3.20587099266126 3.22557851969617 2.71709197723518 3.00919690614538 2.73123877259229 2.67207085491256 3.12330940960075 2.61100403651042 3.09153973759614 2.88056206088993 2.88844621513944 3.17848410757946 2.88337015311952 3.46514319853628 2.64252420222302 2.98807001895418 3.05888642786222 2.85746011770367 2.91454106853324 3.3016415360618 2.8925771905936 3.37170759525252 2.35726887128862 3.13876240949466 2.85247599697223 3.18772997194798 2.92290157726387 2.86000817145192 3.18785160127955 2.86317298502708 2.66339520659981 2.98686708247782 2.75936426802971 3.09240216024266 3.19252336448598 2.21257634540775 3.11801477552567 2.38650082825617 2.49677604241295 2.47723987027703 2.653471026965 2.93597985038156 3.0946359643285 2.74491610608521 2.34207298374732 1.89473684210526 2.77745040267138 2.81755553835436 3.07505274073015 2.94040516619681 2.77582961131003 3.21529522613065 2.72051309158826 2.63638736622292 1.98651877741717 2.3961723989176 2.13143872113677 3.11242022582229 3.08381088825215 2.84511716378647 2.49106302916275 3.06563605397616 2.61846831189897 2.15097856477167 2.91207555655498 2.25398152723403 2.04554481662915
"to" 2.70895636419201 2.43128599510294 2.42178924259056 2.68868222939204 2.78638740177202 2.37221578473027 2.84755343578873 2.63998531301634 2.58590833878478 2.19965538732265 2.6157772273512 2.6688787102824 2.80010182188443 2.62026843613331 2.34192037470726 2.67501422879909 2.55645045304185 2.57484573779234 2.59138941787088 2.44173538902833 2.62385252908165 2.44787290918812 2.66128733760225 2.47558033772294 2.51058456510436 2.37735987929194 2.77292654239584 2.94658608911077 2.74688363066358 2.42619815943588 2.46274909832781 2.62509651090114 2.47000705716302 2.67676581975953 2.59238611022619 2.82341227508712 2.89389067524116 2.73540452040572 2.6855071391581 2.6392523364486 2.72730764798525 2.8187156658458 2.77957155291013 2.59349477002436 2.60227405931309 2.87220309810671 2.89462802150295 2.67203513909224 2.77971081728911 2.48006746396811 2.49716599190283 2.84816342565311 2.5543772737828 2.70676154038688 2.92401494787911 2.41408585877229 2.15923366834171 2.94957183634634 2.80046239325801 2.69981097756696 2.59225851994196 2.83829339906478 2.32040582556046 2.39971346704871 2.6670443967785 2.37441204139229 2.15511594392768 2.47557254856525 2.57595526561044 2.72843115208755 2.49724428902657 2.74725274725275
"a" 1.94276483813931 1.81053212401283 1.78375411635565 1.81881444929462 1.86594032747879 2.06643491695635 1.96078431372549 1.92032311364054 2.02024088967561 2.11166917182975 2.06785258575396 1.92952717567714 1.89097785374014 2.07359372643643 1.92818110850898 1.75014228799089 1.98835035236589 2.06444732231279 2.04622680258392 2.0043026174256 1.98833017430408 1.75284503169633 1.8839989636155 1.99707359512793 2.26175443808958 1.86582269164244 1.753573083366 1.98190758605157 1.9220721056953 2.01187203697064 1.99642974243142 1.78315379241884 1.86457675593359 1.86785307203 2.56052883083785 1.99132351895313 1.88664626351063 2.4039613449405 1.89761041651254 1.70841121495327 1.7016863212077 2.04584201553324 1.92885419883763 2.0275111047428 2.414722775759 1.97576018359151 1.80068418480508 2.09303873286304 2.18046856877755 2.5950628641521 1.95627530364372 1.90925162050678 2.01640993884976 2.05599456502306 2.09466990100308 2.18891882913145 1.86871859296482 1.95580928216513 1.95771339075959 1.92588894040444 2.17263422094984 2.03719143074637 2.35640648011782 2.26002865329513 2.05997814561496 2.35559736594544 2.32870431023189 2.18591897424014 1.80428704566636 2.26744621842441 2.41362271466038 1.96610618297365
"of" 1.47999388793085 1.13115149843087 1.23833699231614 1.22097804770039 1.18969349738581 1.06540491824385 1.40611199434729 1.29612630805948 1.33528302612845 1.53975877112586 1.46363431659536 1.34886572654813 1.41459689443252 1.56085055044488 1.10850897736144 1.1703187250996 1.38069897885805 1.70640664279729 1.36290653821739 1.38400860523485 1.34537480952912 1.41678759642557 1.42132731243291 1.51461225135445 1.38527816979871 1.28436315460199 1.35438571479488 1.44889456101498 1.3398522057177 1.35054380303574 1.40624430762505 1.21695650575389 1.41143260409315 1.38618229951833 1.3300414144632 1.6072825545836 1.26292953163135 1.15805446849293 1.24657838277724 1.26355140186916 1.50193984558061 1.22371661299489 1.41786225678749 1.28600085972202 1.5980932286172 1.59925415949512 1.47738806811774 1.45081858112605 1.4420474754504 1.43360932229377 1.17894736842105 1.42604596346494 1.3816858890007 1.54110201308685 1.68491444306038 1.35469344062604 1.2248743718593 1.54350354160059 1.31260021628072 1.24469488926139 1.37652456959096 1.3810852937978 1.40075274095893 1.4147564469914 1.3355457525598 1.16650987770461 1.62124983623739 1.26675163171514 1.06989748369059 1.55535567048947 1.34934813181801 1.28756785383291
"was" 1.69173342646963 1.30358312928924 1.28293084522503 1.15138862529259 1.39006292852447 1.26496716879104 1.0846140257905 1.34018725904167 1.25447339054142 1.4920995710672 1.49365758462809 1.22624156958921 1.43277937379541 1.34218066656613 1.30757220921155 1.24501992031873 1.27283187113476 1.30646758589167 1.28449273738845 1.51308712800287 1.53120005946408 1.07309249217139 1.1400229485139 1.52647605488986 1.22186734011736 1.30276377286277 1.52190184267741 1.58027101084794 1.28013734418153 1.20712322218238 1.20951582935626 1.27578219787492 1.27028934368384 1.37147479501416 1.71232876712329 1.98776758409786 1.11184286987177 1.3577190320262 1.29466597617815 1.06542056074766 1.47120961856106 1.5571130896003 1.59474408288177 1.37555523713999 1.37537607939671 1.58491107286288 1.33453629562798 1.25781977904965 1.03224309904894 1.44510886231217 1.58380566801619 1.13140836770772 0.998529297933277 1.45171094504237 1.25876876679997 1.57247794470488 0.938285175879397 0.792895654931811 1.07021665361524 1.65483790434752 1.6981058080709 1.26508862870192 1.12256586483391 1.31805157593123 0.926787810109677 1.81749764816557 1.19219179876851 1.54481906306724 1.30475302889096 1.13184918671764 1.7484511003839 1.30742751224679
"she" 0.779288817096331 1.33806945546091 1.22461580680571 1.19567280318846 1.29613975767822 1.45487318140852 1.01395513160219 1.81751422801542 0.719590564513026 0.872529970304652 0.915709674998124 1.28394705521694 1.37823193570675 1.40627356356507 1.4832162373146 1.75014228799089 1.38069897885805 0.864630151595947 1.09032523057391 1.92183578343492 0.787899059724235 1.20675169938135 1.19924491986527 1.53438525724681 1.29985887246528 1.04147499355978 1.78565063976904 1.23869224128223 1.1607076211092 1.26688179753795 1.51918102663121 1.73903452332806 2.02057720164915 1.5957642387028 1.70038228735266 1.97709977953204 1.19707124317205 1.19399408992892 0.983946141895391 1.25981308411215 1.82076595090846 1.30706573214624 2.06081365640003 1.52600659120218 1.04716133317704 1.93273092369478 1.31949926694485 1.16464794356449 1.71653908605892 1.5754369825207 1.3246963562753 1.43390296601846 1.11463735583249 1.21929416812672 1.08831049629581 1.15536525045218 1.5625 0.859851288014942 1.27158145952195 1.03784015121795 1.06670849837249 1.9610686192772 1.7149402716413 1.12464183381089 0.821562993241329 1.26434619002822 1.1397877636578 0.946201676128683 2.16961789375582 0.858256502511056 1.21631380896271 1.14855024493579
"s" 0.766191526052695 1.42083663827292 1.28979143798024 1.27158853672424 1.19595504210889 1.3679670400412 1.44497438615086 1.33284376721131 1.12363874244815 1.22447483227628 1.17466036178038 1.39935802647239 1.17095167096985 1.17629316845121 1.20218579234973 1.32327831531019 1.35912555731339 1.34455701988268 1.13513311676188 1.07206884187881 1.11495149960977 0.943252119453143 1.25106414479772 1.22988096650453 1.59696947188591 1.59717366503515 1.15479203050932 1.17488082279194 1.22788684033739 1.58161029441058 1.38438558781741 1.308871649693 1.38914682613379 1.20233849321616 1.0672188595094 1.18412630680606 1.33266183705885 1.2538934589889 1.27617074794703 1.22242990654206 1.33676487535052 1.29569994317106 1.40101636858803 1.18211778191718 1.26597116399015 1.50243832472748 1.22551783767528 1.10807932916278 1.38019021108791 1.40294388224471 1.26315789473684 1.29640542133176 1.26944809969812 1.04766331748132 1.15714941323018 1.31408955003507 1.21702261306533 1.2192973182507 1.37972181824962 1.09846998823068 1.23534256245343 1.39195998115054 1.28620520373098 1.09957020057307 1.52980695293213 1.27187206020696 1.16926503340757 1.0775112964894 1.3569431500466 1.19556255153287 1.14029419590254 1.26439825235006
"you" 1.22459671257995 1.31737765975791 1.43386388583974 1.5214778262795 1.33683979837826 1.30359212050985 1.15880586468822 1.24839361116211 1.16596759918421 1.10349378597353 1.12962545973129 1.29837342662387 1.57460271282592 1.31578947368421 1.30366900858704 1.45845190665908 1.25485401984755 1.13125618953302 1.17994100294985 1.43779132305486 1.24131266956554 1.48934545176812 1.16593256098012 1.11519753232886 0.947040035653272 1.08931660103779 0.915992443953381 1.34379340114861 1.15324326341718 1.15134855185052 1.12572407009363 1.01106658333027 1.09571741633548 1.05526344817443 1.31013061484549 0.650736078515042 1.30941773524968 1.72110853765674 1.31686025005549 1.31214953271028 1.31371720508585 1.28433415419587 0.985484459668136 1.33615131107609 1.18001015902786 0.889271371199082 0.992443893086726 1.00825236257154 1.17528802288719 1.36077890217725 1.60971659919028 1.59104301708898 1.37394535180742 1.23002109629206 1.09486658362289 1.32516333837806 1.23272613065327 1.3426366423512 1.3722638624753 1.14483398124042 1.52162829914899 1.25421394134919 1.03747340860743 1.40759312320917 1.05224816868348 1.08748824082785 1.18564129437967 1.19337272621944 1.30102516309413 1.26677160632636 1.45197460944924 1.36038660135046
