Source,Target,Weight,Type
bg_fr001,bg_fr002,26,undirected
bg_fr001,bg_fr003,46,undirected
bg_fr001,bg_fr004,26,undirected
bg_fr001,bg_fr005,9,undirected
bg_fr001,frmod_fr001,41,undirected
bg_fr001,qu_fr001,12,undirected
bg_fr002,bg_fr001,26,undirected
bg_fr002,bg_fr003,6,undirected
bg_fr002,bg_fr004,12,undirected
bg_fr002,bg_fr009,22,undirected
bg_fr002,frmod_fr002,48,undirected
bg_fr002,qu_fr002,33,undirected
bg_fr003,bg_fr001,46,undirected
bg_fr003,bg_fr002,6,undirected
bg_fr003,bg_fr004,24,undirected
bg_fr003,frmod_fr003,55,undirected
bg_fr003,qu_fr003,23,undirected
bg_fr004,bg_fr001,26,undirected
bg_fr004,bg_fr002,12,undirected
bg_fr004,bg_fr003,24,undirected
bg_fr004,bg_fr005,8,undirected
bg_fr004,bg_fr016,2,undirected
bg_fr004,frmod_fr004,54,undirected
bg_fr004,frold_fr012,4,undirected
bg_fr004,qu_fr004,10,undirected
bg_fr005,bg_fr001,9,undirected
bg_fr005,bg_fr004,8,undirected
bg_fr005,bg_fr009,39,undirected
bg_fr005,bg_fr016,4,undirected
bg_fr005,frmod_fr005,50,undirected
bg_fr005,qu_fr005,10,undirected
bg_fr009,bg_fr002,22,undirected
bg_fr009,bg_fr005,39,undirected
bg_fr009,bg_fr016,6,undirected
bg_fr009,frmod_fr008,2,undirected
bg_fr009,frmod_fr010,1,undirected
bg_fr009,frmod_fr011,10,undirected
bg_fr016,bg_fr004,2,undirected
bg_fr016,bg_fr005,4,undirected
bg_fr016,bg_fr009,6,undirected
bg_fr016,frmod_fr016,60,undirected
bg_fr016,qu_fr016,46,undirected
bg_fr016,qu_fr032,2,undirected
frmod_fr001,bg_fr001,41,undirected
frmod_fr001,frmod_fr002,1,undirected
frmod_fr001,frmod_fr003,32,undirected
frmod_fr001,frmod_fr004,41,undirected
frmod_fr001,frmod_fr005,19,undirected
frmod_fr001,frmod_fr010,2,undirected
frmod_fr001,frmod_fr011,22,undirected
frmod_fr001,frold_049,2,undirected
frmod_fr001,qu_fr001,8,undirected
frmod_fr002,bg_fr002,48,undirected
frmod_fr002,frmod_fr001,1,undirected
frmod_fr002,frmod_fr003,9,undirected
frmod_fr002,frmod_fr004,9,undirected
frmod_fr002,frmod_fr005,8,undirected
frmod_fr002,frmod_fr010,39,undirected
frmod_fr002,frmod_fr017,2,undirected
frmod_fr002,qu_fr002,16,undirected
frmod_fr003,bg_fr003,55,undirected
frmod_fr003,frmod_fr001,32,undirected
frmod_fr003,frmod_fr002,9,undirected
frmod_fr003,frmod_fr004,14,undirected
frmod_fr003,frmod_fr005,3,undirected
frmod_fr003,frmod_fr010,1,undirected
frmod_fr003,qu_fr003,10,undirected
frmod_fr004,bg_fr004,54,undirected
frmod_fr004,frmod_fr001,41,undirected
frmod_fr004,frmod_fr002,9,undirected
frmod_fr004,frmod_fr003,14,undirected
frmod_fr004,frmod_fr005,3,undirected
frmod_fr004,frmod_fr010,4,undirected
frmod_fr004,frmod_fr012,12,undirected
frmod_fr004,frmod_fr014,1,undirected
frmod_fr004,frmod_fr019,19,undirected
frmod_fr004,frold_049,2,undirected
frmod_fr004,frold_fr012,4,undirected
frmod_fr004,qu_fr004,20,undirected
frmod_fr005,bg_fr005,50,undirected
frmod_fr005,frmod_fr001,19,undirected
frmod_fr005,frmod_fr002,8,undirected
frmod_fr005,frmod_fr003,3,undirected
frmod_fr005,frmod_fr004,3,undirected
frmod_fr005,frmod_fr006,8,undirected
frmod_fr005,frmod_fr008,6,undirected
frmod_fr005,frmod_fr010,1,undirected
frmod_fr005,frmod_fr011,5,undirected
frmod_fr005,frmod_fr013,17,undirected
frmod_fr005,frmod_fr019,2,undirected
frmod_fr006,frmod_fr005,8,undirected
frmod_fr006,frmod_fr008,37,undirected
frmod_fr006,frmod_fr011,36,undirected
frmod_fr006,frmod_fr013,47,undirected
frmod_fr006,frmod_fr020,38,undirected
frmod_fr006,qu_fr024,1,undirected
frmod_fr008,bg_fr009,2,undirected
frmod_fr008,frmod_fr005,6,undirected
frmod_fr008,frmod_fr006,37,undirected
frmod_fr008,frmod_fr010,12,undirected
frmod_fr008,frmod_fr011,2,undirected
frmod_fr008,frmod_fr018,47,undirected
frmod_fr008,frmod_fr020,20,undirected
frmod_fr010,bg_fr009,1,undirected
frmod_fr010,frmod_fr001,2,undirected
frmod_fr010,frmod_fr002,39,undirected
frmod_fr010,frmod_fr003,1,undirected
frmod_fr010,frmod_fr004,4,undirected
frmod_fr010,frmod_fr005,1,undirected
frmod_fr010,frmod_fr008,12,undirected
frmod_fr010,frmod_fr012,2,undirected
frmod_fr010,frmod_fr013,1,undirected
frmod_fr010,frmod_fr014,47,undirected
frmod_fr010,frold_049,1,undirected
frmod_fr010,frold_fr012,2,undirected
frmod_fr011,bg_fr009,10,undirected
frmod_fr011,frmod_fr001,22,undirected
frmod_fr011,frmod_fr005,5,undirected
frmod_fr011,frmod_fr006,36,undirected
frmod_fr011,frmod_fr008,2,undirected
frmod_fr011,frmod_fr015,6,undirected
frmod_fr011,frmod_fr017,2,undirected
frmod_fr011,frmod_fr020,13,undirected
frmod_fr012,frmod_fr004,12,undirected
frmod_fr012,frmod_fr010,2,undirected
frmod_fr012,frmod_fr014,16,undirected
frmod_fr012,frmod_fr015,2,undirected
frmod_fr012,frmod_fr019,10,undirected
frmod_fr012,frold_049,23,undirected
frmod_fr012,frold_fr012,60,undirected
frmod_fr012,frold_fr042,35,undirected
frmod_fr013,frmod_fr005,17,undirected
frmod_fr013,frmod_fr006,47,undirected
frmod_fr013,frmod_fr010,1,undirected
frmod_fr013,frmod_fr014,1,undirected
frmod_fr013,frmod_fr018,36,undirected
frmod_fr013,frmod_fr020,5,undirected
frmod_fr014,frmod_fr004,1,undirected
frmod_fr014,frmod_fr010,47,undirected
frmod_fr014,frmod_fr012,16,undirected
frmod_fr014,frmod_fr013,1,undirected
frmod_fr014,frmod_fr015,29,undirected
frmod_fr014,frmod_fr016,7,undirected
frmod_fr014,frmod_fr017,2,undirected
frmod_fr014,frmod_fr018,3,undirected
frmod_fr014,frmod_fr019,40,undirected
frmod_fr014,frold_049,1,undirected
frmod_fr015,frmod_fr011,6,undirected
frmod_fr015,frmod_fr012,2,undirected
frmod_fr015,frmod_fr014,29,undirected
frmod_fr015,frmod_fr016,2,undirected
frmod_fr015,frmod_fr019,4,undirected
frmod_fr015,qu_fr015,48,undirected
frmod_fr016,bg_fr016,60,undirected
frmod_fr016,frmod_fr014,7,undirected
frmod_fr016,frmod_fr015,2,undirected
frmod_fr016,frmod_fr017,34,undirected
frmod_fr016,frmod_fr020,2,undirected
frmod_fr016,frold_fr042,2,undirected
frmod_fr016,qu_fr016,22,undirected
frmod_fr017,frmod_fr002,2,undirected
frmod_fr017,frmod_fr011,2,undirected
frmod_fr017,frmod_fr014,2,undirected
frmod_fr017,frmod_fr016,34,undirected
frmod_fr017,frmod_fr018,51,undirected
frmod_fr017,frmod_fr019,15,undirected
frmod_fr017,frold_fr042,13,undirected
frmod_fr018,frmod_fr008,47,undirected
frmod_fr018,frmod_fr013,36,undirected
frmod_fr018,frmod_fr014,3,undirected
frmod_fr018,frmod_fr017,51,undirected
frmod_fr019,frmod_fr004,19,undirected
frmod_fr019,frmod_fr005,2,undirected
frmod_fr019,frmod_fr012,10,undirected
frmod_fr019,frmod_fr014,40,undirected
frmod_fr019,frmod_fr015,4,undirected
frmod_fr019,frmod_fr017,15,undirected
frmod_fr019,frold_049,3,undirected
frmod_fr019,frold_fr042,1,undirected
frmod_fr020,frmod_fr006,38,undirected
frmod_fr020,frmod_fr008,20,undirected
frmod_fr020,frmod_fr011,13,undirected
frmod_fr020,frmod_fr013,5,undirected
frmod_fr020,frmod_fr016,2,undirected
frold_049,frmod_fr001,2,undirected
frold_049,frmod_fr004,2,undirected
frold_049,frmod_fr010,1,undirected
frold_049,frmod_fr012,23,undirected
frold_049,frmod_fr014,1,undirected
frold_049,frmod_fr019,3,undirected
frold_049,frold_fr012,3,undirected
frold_049,frold_fr042,46,undirected
