Source,Target,Weight,Type
bg_fr001,bg_fr002,27,undirected
bg_fr001,bg_fr003,42,undirected
bg_fr001,bg_fr004,18,undirected
bg_fr001,bg_fr005,9,undirected
bg_fr001,bg_fr009,1,undirected
bg_fr001,frmod_fr001,56,undirected
bg_fr001,qu_fr001,15,undirected
bg_fr002,bg_fr001,27,undirected
bg_fr002,bg_fr003,1,undirected
bg_fr002,bg_fr004,7,undirected
bg_fr002,bg_fr005,2,undirected
bg_fr002,bg_fr009,22,undirected
bg_fr002,bg_fr016,6,undirected
bg_fr002,frmod_fr002,56,undirected
bg_fr002,qu_fr002,35,undirected
bg_fr003,bg_fr001,42,undirected
bg_fr003,bg_fr002,1,undirected
bg_fr003,bg_fr004,24,undirected
bg_fr003,frmod_fr003,56,undirected
bg_fr003,qu_fr003,16,undirected
bg_fr004,bg_fr001,18,undirected
bg_fr004,bg_fr002,7,undirected
bg_fr004,bg_fr003,24,undirected
bg_fr004,bg_fr005,13,undirected
bg_fr004,frmod_fr004,58,undirected
bg_fr004,frold_fr012,3,undirected
bg_fr004,qu_fr004,19,undirected
bg_fr005,bg_fr001,9,undirected
bg_fr005,bg_fr002,2,undirected
bg_fr005,bg_fr004,13,undirected
bg_fr005,bg_fr009,28,undirected
bg_fr005,bg_fr016,3,undirected
bg_fr005,frmod_fr005,55,undirected
bg_fr005,qu_fr005,27,undirected
bg_fr009,bg_fr001,1,undirected
bg_fr009,bg_fr002,22,undirected
bg_fr009,bg_fr005,28,undirected
bg_fr009,frmod_fr011,8,undirected
bg_fr009,frmod_fr017,1,undirected
bg_fr016,bg_fr002,6,undirected
bg_fr016,bg_fr005,3,undirected
bg_fr016,frmod_fr016,60,undirected
bg_fr016,frmod_fr017,4,undirected
bg_fr016,qu_fr016,47,undirected
frmod_fr001,bg_fr001,56,undirected
frmod_fr001,frmod_fr002,5,undirected
frmod_fr001,frmod_fr003,35,undirected
frmod_fr001,frmod_fr004,29,undirected
frmod_fr001,frmod_fr005,19,undirected
frmod_fr001,frmod_fr010,17,undirected
frmod_fr001,frmod_fr011,15,undirected
frmod_fr001,qu_fr001,10,undirected
frmod_fr002,bg_fr002,56,undirected
frmod_fr002,frmod_fr001,5,undirected
frmod_fr002,frmod_fr003,15,undirected
frmod_fr002,frmod_fr004,1,undirected
frmod_fr002,frmod_fr005,13,undirected
frmod_fr002,frmod_fr010,19,undirected
frmod_fr002,frmod_fr017,2,undirected
frmod_fr002,qu_fr002,15,undirected
frmod_fr003,bg_fr003,56,undirected
frmod_fr003,frmod_fr001,35,undirected
frmod_fr003,frmod_fr002,15,undirected
frmod_fr003,frmod_fr004,10,undirected
frmod_fr003,frmod_fr005,4,undirected
frmod_fr003,frmod_fr010,6,undirected
frmod_fr003,frmod_fr012,3,undirected
frmod_fr003,frmod_fr013,4,undirected
frmod_fr003,frmod_fr018,1,undirected
frmod_fr003,frold_fr012,2,undirected
frmod_fr003,qu_fr003,18,undirected
frmod_fr004,bg_fr004,58,undirected
frmod_fr004,frmod_fr001,29,undirected
frmod_fr004,frmod_fr002,1,undirected
frmod_fr004,frmod_fr003,10,undirected
frmod_fr004,frmod_fr005,1,undirected
frmod_fr004,frmod_fr012,10,undirected
frmod_fr004,frmod_fr019,8,undirected
frmod_fr004,frold_fr012,4,undirected
frmod_fr004,qu_fr004,10,undirected
frmod_fr005,bg_fr005,55,undirected
frmod_fr005,frmod_fr001,19,undirected
frmod_fr005,frmod_fr002,13,undirected
frmod_fr005,frmod_fr003,4,undirected
frmod_fr005,frmod_fr004,1,undirected
frmod_fr005,frmod_fr006,13,undirected
frmod_fr005,frmod_fr008,20,undirected
frmod_fr005,frmod_fr010,3,undirected
frmod_fr005,frmod_fr011,31,undirected
frmod_fr005,frmod_fr013,33,undirected
frmod_fr005,frmod_fr014,1,undirected
frmod_fr005,frmod_fr016,1,undirected
frmod_fr005,frmod_fr018,4,undirected
frmod_fr005,frmod_fr019,23,undirected
frmod_fr005,frold_049,1,undirected
frmod_fr006,frmod_fr005,13,undirected
frmod_fr006,frmod_fr008,15,undirected
frmod_fr006,frmod_fr011,21,undirected
frmod_fr006,frmod_fr013,49,undirected
frmod_fr006,frmod_fr020,31,undirected
frmod_fr008,frmod_fr005,20,undirected
frmod_fr008,frmod_fr006,15,undirected
frmod_fr008,frmod_fr010,5,undirected
frmod_fr008,frmod_fr011,2,undirected
frmod_fr008,frmod_fr013,7,undirected
frmod_fr008,frmod_fr018,12,undirected
