"bg_fr001" "bg_fr002" "bg_fr003" "bg_fr004" "bg_fr005" "bg_fr009" "bg_fr016" "frmod_fr001" "frmod_fr002" "frmod_fr003" "frmod_fr004" "frmod_fr005" "frmod_fr006" "frmod_fr008" "frmod_fr010" "frmod_fr011" "frmod_fr012" "frmod_fr013" "frmod_fr014" "frmod_fr015" "frmod_fr016" "frmod_fr017" "frmod_fr018" "frmod_fr019" "frmod_fr020" "frold_049" "frold_fr012" "frold_fr042" "qu_fr001" "qu_fr002" "qu_fr003" "qu_fr004" "qu_fr005" "qu_fr015" "qu_fr016" "qu_fr021" "qu_fr024" "qu_fr025" "qu_fr027" "qu_fr028" "qu_fr029" "qu_fr030" "qu_fr031" "qu_fr032" "qu_fr034" "qu_fr035" "qu_fr036" "qu_fr037" "qu_fr039" "qu_fr040" "qu_fr041" "qu_fr043" "qu_fr044" "qu_fr048" "qu_fr049" "qu_fr052" "qu_fr053" "qu_fr054" "qu_fr055" "qu_fr056" "qu_fr057" "qu_fr061" "qu_fr063" "qu_fr064" "qu_fr065" "qu_fr066"
"de" 2.79199277543648 2.74910103236284 2.67922352488949 2.92799635424578 2.63416106875991 3.22705613450587 3.1182128451753 2.7663205802873 2.92274746192893 2.85828867257282 2.808181315644 2.84025324425478 3.13554276642191 3.04580701894636 3.16843581013419 2.77252906976744 2.95091511115963 3.10239337772179 2.80705731232763 2.89598723684667 2.94951152211201 3.01267710663684 2.81253341888568 2.9545374511392 3.1048860462292 3.31791760363189 3.07731527003897 3.12648158878997 2.9148872777833 2.89042072735916 3.20277179194659 2.96384965286091 3.0637463780467 3.40548863327597 3.09057031756319 3.11457638425617 3.375367403053 3.19099915521081 3.36456381428274 3.27436087439793 3.60517860517861 3.37216189536032 3.25217779763234 2.93312165112125 3.36439549800315 3.68888275608298 3.38691653055961 3.33563059958649 3.35046640015229 3.46373069615628 3.14321690062025 3.39397358153528 3.88992445796135 3.19110212335693 3.6231884057971 2.94154884996835 3.55062772337029 3.36381450032658 3.27808771429735 2.93728087261395 3.10737759110178 3.42312008978676 2.90861473751042 3.15510384445426 3.25879917184265 3.32293666026871
"je" 2.72426249247441 2.6679039554576 2.59465692869498 3.55840802065927 2.79266359725262 2.81253631890908 2.38907849829352 2.09074100412459 1.93924492385787 1.97965656786613 2.64971439100792 1.83287278323831 1.64318317126414 1.75873371172756 2.10694972962147 1.99491279069767 2.46697958738129 1.68436206586288 2.18368657675016 1.97343321888114 1.82713103139682 1.99850857568978 1.92136313406766 2.25728069866535 1.92689147067158 2.04081632653061 3.01540478531629 2.13875572880999 2.63184030191677 2.50534822914191 2.50137322009549 3.05482403638975 2.5183228225669 2.36391631192827 2.33716785482826 2.50583722481654 1.99108751303688 2.84924352968282 2.94815740162398 3.32067432382364 2.33415233415233 1.89930898321816 2.26490953763681 2.38142488589006 2.60599459437654 2.14801527068672 2.58316857216539 2.97266253158741 2.41766609556444 3.02041214010815 2.99398405073917 3.39867437596954 1.85911900323752 2.11526794742164 2.72904483430799 2.67566997256805 2.7007204797446 2.80453951665578 1.98314126318361 2.1347876899104 2.20122117216972 2.16049382716049 2.75782707035435 1.95757843570482 2.77432712215321 3.09101087651951
"et" 2.33669476219145 2.02219386768743 2.06034979819335 2.20264317180617 2.7662465091705 2.08034711192035 2.93205088426931 1.86317735741715 1.63784898477157 1.88122060592803 2.00110558319514 2.30158452551681 2.29013693193094 2.27835958110161 1.73843380733026 2.46729651162791 2.00123712840665 2.26021234479035 2.2705806792852 2.38962300142198 2.61764486538892 2.4496644295302 2.59152318825081 2.30306018241364 2.22645022871716 1.80321608893037 2.31982228049091 2.07027340251804 2.00119177674049 2.10125980508676 2.06616808213969 2.07804644481685 2.5481506732572 2.5043021465447 2.61260531432275 2.50583722481654 3.05300085332322 2.36540972275555 1.86133666458463 2.78343831048536 2.30580230580231 2.64560710760118 2.41679696225151 2.38142488589006 2.19048771632579 2.31820063474541 2.26940600017192 2.08591775786814 2.54616409670664 1.94378136113412 2.42969733712633 2.20937338410191 2.44775826547631 2.25278058645096 2.08492245105517 2.39290989660266 2.12261098408042 2.26567602873939 2.3089139552877 2.58667705492793 2.41900983938086 1.82379349046016 2.43641125352169 2.30225364560318 2.61697722567288 1.97536788227767
"la" 1.6292895845876 1.89459846112207 1.64520468960215 1.77730518000911 1.85674390520039 2.13070933250688 1.81120074464784 1.5289432513156 1.77664974619289 1.53851762732874 1.64363368343468 1.66147819091259 1.79797578884699 2.01055240227037 1.73042259162828 1.8859011627907 1.58279663792162 1.77793773618859 1.81344213986173 1.80002080948913 1.64441792825714 1.7151379567487 1.26189712330232 1.76779237243371 1.87831437477229 1.80745895031609 1.66065770785535 1.83585313174946 1.81249379282948 2.13453767530307 1.68166645540204 1.99664831218578 1.77688767683654 1.78878724753193 1.93211276733636 1.5927284856571 2.11434531146298 1.8316565547961 2.06953987091401 1.71822897369396 2.06482706482706 1.9466929911155 2.09515300424391 1.79400674737051 1.96054701682198 2.35959707465158 1.91266225393278 1.62186997473007 1.84656386826575 1.94865299361816 1.77680361889661 1.57006534104264 1.95722554694398 1.84024266936299 2.02135774218154 1.8231694450306 1.96729798524527 2.04114957544089 2.06458443620963 1.50759641604986 2.13899583868082 2.00016033349367 2.03166541010277 1.90013256738842 2.12836438923395 2.36724248240563
"à" 2.02438290186635 1.69353903259483 1.94503171247357 1.98237885462555 1.70956298588573 1.35977995583621 1.65218740304065 1.96984781681126 1.79251269035533 1.82653396040687 1.87580615441312 1.7139459232572 1.78606866441754 1.82668478695339 1.80252353294612 1.63517441860465 1.7283411563512 1.89310779197409 1.69254599720428 1.7722748239864 1.47289134163621 1.7151379567487 1.85006951128222 1.81357185618199 1.90665101404688 1.65047307904451 1.99934447722058 1.77000474108413 2.15512960572053 1.78749702876159 1.85912874466557 2.07804644481685 1.99420487472303 2.03333031428313 1.72553467271549 1.72198132088059 1.86308903005594 1.9506950311036 1.7738913179263 2.06557984438681 2.02230202230202 1.95064165844028 2.03707840071476 1.84163524508831 1.84355964339021 2.04682397313831 2.05879824636809 1.58511371467953 1.82276794212831 1.78788912164466 1.67886956116215 1.78160109058431 2.15834396154224 1.78361981799798 1.72896008136283 1.7725258493353 1.88964148582769 1.9268451992162 1.82025491713157 1.50759641604986 1.9017617547544 1.74362674362674 1.69040911074957 1.58638974812196 1.78467908902692 1.82341650671785
"est" 1.32074051776039 1.32621892278545 1.26465500672689 1.2038584232113 1.13970865725715 1.40626815945454 1.38070121005275 1.73872848812402 1.89562182741117 1.73174377483685 1.63257785148332 1.81538353912344 1.45266918039294 1.3870013590215 1.5341478069297 1.77325581395349 1.41178182876687 1.47201727550837 1.60187389021119 1.58845767003087 1.79730032068014 1.75988068605518 1.39735500659466 1.82765785118146 1.55851516010201 1.64623021765879 1.11438872500819 1.68045092977928 1.84725394776045 1.80175897314 1.53378121434909 2.00143643763467 1.7300153400375 1.80237297346255 1.80654569021387 1.53852568378919 1.53598179577131 2.08893326165425 1.78221944617947 1.80159318266024 1.79077679077679 1.76900296150049 1.63502345320527 1.86148045247073 1.93230868530397 1.71565245388897 1.69775638270438 1.77808407994487 1.80373120121835 1.71481463438398 1.93069999533647 1.6781836130306 1.48631413715295 1.78361981799798 1.77133655394525 1.73876345220511 1.5703869882221 1.53902677988243 1.68994584028994 1.90494740942735 1.44284992027379 1.72358505691839 1.75786675131939 1.74988952717631 2.00828157349896 1.79942418426104
"le" 1.41481035520771 1.84820013146193 1.69901979627138 1.59881512987999 1.43029662616047 1.82078797505133 1.7413900093081 1.45427392973972 1.7369923857868 1.53487185096066 1.47779620416436 1.4061352268355 1.55983330025799 1.45894955631945 1.61025435609854 1.49709302325581 1.33173234363061 1.33165377001979 1.40541765839284 1.5225609544619 1.58102766798419 1.68903803131991 1.34032010836631 1.38042750994823 1.50184188155285 1.39165853451568 1.343821697804 1.49607543591635 1.41523487933261 1.78749702876159 1.35209363248405 1.65190327986593 1.32520879495483 1.5261298795399 1.64857420609203 1.16744496330887 1.19939319237698 1.56669994624069 1.53237559858422 1.17636161541312 1.66320166320166 1.49654491609082 1.45633236542327 1.44870013891645 1.31913348662713 1.54086748539626 1.30662769706868 1.39673788192051 0.975632971635256 1.4273883178253 1.51098260504594 1.43374230244911 1.3293436672226 1.33468149646107 1.28824476650564 1.56573116691285 1.48841623883688 1.72681254082299 1.57999755670481 1.20763537202961 1.66452767082799 1.37886804553471 1.44041903099083 1.66593018117543 1.46169772256729 1.26759436980166
"que" 1.24924744130042 1.29528670301202 1.33768979434941 1.37475315205833 1.39633179862631 1.5031185836594 1.69097114489606 1.19115346323425 1.43559644670051 1.53122607459258 1.43357287635895 1.35366749449089 1.24230998213931 1.12319130226237 1.46204686561186 1.26453488372093 1.47363824909944 1.39283786215584 1.28829952019343 1.41504526063885 1.64441792825714 1.47278150633855 1.21912094963106 1.44029298869599 1.40063959842934 1.18375832661547 1.52591135875305 1.57245956908813 1.31592015095839 1.459472308058 1.85912874466557 1.65190327986593 1.5467871143685 1.7118014672584 1.5351587815943 1.48849232821881 1.25628140703518 1.6204592581215 1.72808661253383 1.70896628380882 1.38442638442638 1.52023692003949 1.55014518650882 1.5796785076404 1.62975513332527 1.60526194747252 1.53872603799536 1.5759246496669 1.58480868075385 1.58328055731476 1.60891666278039 1.7251915573732 1.25576375944275 1.33063700707786 1.37723535892872 1.43490187803334 1.36330298977523 1.54310907903331 1.19314248483121 1.5309700038956 1.54007700385019 1.35481802148469 1.58327050513869 1.064958020327 1.22567287784679 1.42354446577095
"les" 1.14388922335942 1.28368712059699 1.1032096867192 1.21904906577548 1.50577402068081 1.31716576918607 1.47378219050574 1.1449295974968 1.18972081218274 1.10102446315943 1.22719734660033 1.39913952918955 1.76622345703513 1.59884882884323 1.13358702183056 1.22093023255814 1.22985118072991 1.56919201007738 1.29963353356757 1.22775985849547 1.43187411440078 1.14466815809098 1.46151926710156 1.0212346374617 1.81354491357325 1.3280156137299 1.21635893513966 1.15366380445662 1.0030787565796 1.37865462324697 1.11125195419783 1.05338759875509 1.45304244077041 1.33592971651119 1.73363577446533 2.13058705803869 1.6307954868683 1.14046540204285 1.39079741828024 1.24583178955169 1.45530145530146 1.51233958538993 1.18382845655573 1.54395713435205 1.25055468151196 1.19589715284486 1.39259004556004 0.969446358832989 1.33733104892442 1.45174648024553 1.10059226787297 1.04827715883984 1.74139115078976 1.72699696663296 1.4450377150606 1.20700569740452 1.32447474006644 1.23693664271718 1.65736857107953 1.79197506817296 1.804534671178 1.46705146705147 1.09519463513353 1.5687140963323 1.24223602484472 1.38355726167626
"a" 0.812763395544853 0.808104241580636 0.711128195271958 0.600030381285128 0.739678466299343 0.778677410607058 0.477040024821595 2.35030578865026 2.38340736040609 2.30777644099311 2.07112585222038 2.1022071426073 2.41317721770193 2.0785034774962 2.19106749449229 2.80523255813953 1.93938070807408 2.15224041749145 2.41036684423288 2.27863905941109 2.1142516220449 2.70693512304251 2.07464442305636 2.55660809240413 2.16572885884306 1.65471594043023 0.400597254087913 1.90696939366802 0.933558446717648 0.974566199191823 0.718299742257151 0.751735695475221 0.847963183910005 0.710986323702563 0.733149708360337 0.696297531687792 0.777472266995354 1.02142692573535 1.1034769935457 0.903112263801408 0.85995085995086 0.927936821322804 1.21509939691758 1.00416749355031 0.891524466497237 1.01651257991813 0.85532536748904 0.813232253618194 1.06129830573006 1.04252935158572 0.867415939933778 0.827339820429653 0.87314823898754 1.03943377148635 0.813628273582507 0.848280227896181 0.742050994434618 0.616427171783148 0.899947061937533 1.07908063887807 0.855598335472329 1.03014269680936 0.964247450497996 1.03402562969509 0.94824016563147 0.859724888035829
