Source,Target,Weight,Type
de_002,de_003,39,undirected
de_002,de_004,60,undirected
de_002,decd_001,8,undirected
de_002,decd_002,8,undirected
de_002,decd_006,21,undirected
de_003,de_002,39,undirected
de_003,de_004,50,undirected
de_003,decd_002,3,undirected
de_003,decd_006,7,undirected
de_004,de_002,60,undirected
de_004,de_003,50,undirected
de_004,decd_001,2,undirected
de_004,decd_002,12,undirected
decd_001,de_002,8,undirected
decd_001,de_004,2,undirected
decd_001,decd_002,60,undirected
decd_001,decd_006,40,undirected
decd_002,de_002,8,undirected
decd_002,de_003,3,undirected
decd_002,de_004,12,undirected
decd_002,decd_001,60,undirected
decd_002,decd_006,50,undirected
decd_006,de_002,21,undirected
decd_006,de_003,7,undirected
decd_006,decd_001,40,undirected
decd_006,decd_002,50,undirected
