Source,Target,Weight,Type
new_it001,new_it002,51,undirected
new_it001,new_it003,46,undirected
new_it001,new_it004,18,undirected
new_it001,old_it003,33,undirected
new_it001,old_it006,8,undirected
new_it001,old_it010,2,undirected
new_it001,old_it011,1,undirected
new_it001,old_it037,1,undirected
new_it002,new_it001,51,undirected
new_it002,new_it003,29,undirected
new_it002,new_it004,9,undirected
new_it002,old_it003,19,undirected
new_it002,old_it010,17,undirected
new_it002,old_it025,8,undirected
new_it003,new_it001,46,undirected
new_it003,new_it002,29,undirected
new_it003,new_it004,20,undirected
new_it003,old_it003,60,undirected
new_it003,old_it010,15,undirected
new_it003,old_it018,5,undirected
new_it004,new_it001,18,undirected
new_it004,new_it002,9,undirected
new_it004,new_it003,20,undirected
new_it004,old_it006,5,undirected
new_it004,old_it010,11,undirected
new_it004,old_it011,4,undirected
new_it004,old_it025,21,undirected
new_it004,old_it026,11,undirected
old_it003,new_it001,33,undirected
old_it003,new_it002,19,undirected
old_it003,new_it003,60,undirected
old_it003,old_it010,19,undirected
old_it003,old_it018,2,undirected
old_it006,new_it001,8,undirected
old_it006,new_it004,5,undirected
old_it006,old_it011,59,undirected
old_it006,old_it018,27,undirected
old_it006,old_it026,1,undirected
old_it006,old_it047,1,undirected
old_it006,old_it062,5,undirected
old_it006,old_it067,2,undirected
old_it010,new_it001,2,undirected
old_it010,new_it002,17,undirected
old_it010,new_it003,15,undirected
old_it010,new_it004,11,undirected
old_it010,old_it003,19,undirected
old_it010,old_it025,8,undirected
old_it010,old_it046,2,undirected
old_it011,new_it001,1,undirected
old_it011,new_it004,4,undirected
old_it011,old_it006,59,undirected
old_it011,old_it025,15,undirected
old_it011,old_it032,7,undirected
old_it011,old_it046,7,undirected
old_it011,old_it062,12,undirected
old_it018,new_it003,5,undirected
old_it018,old_it003,2,undirected
old_it018,old_it006,27,undirected
old_it018,old_it032,54,undirected
old_it018,old_it055,1,undirected
old_it018,old_it067,12,undirected
old_it025,new_it002,8,undirected
old_it025,new_it004,21,undirected
old_it025,old_it010,8,undirected
old_it025,old_it011,15,undirected
old_it025,old_it026,54,undirected
old_it025,old_it032,1,undirected
old_it026,new_it004,11,undirected
old_it026,old_it006,1,undirected
old_it026,old_it025,54,undirected
old_it026,old_it032,22,undirected
old_it026,old_it040,28,undirected
old_it032,old_it011,7,undirected
old_it032,old_it018,54,undirected
old_it032,old_it025,1,undirected
old_it032,old_it026,22,undirected
old_it032,old_it046,10,undirected
old_it032,old_it062,3,undirected
old_it037,new_it001,1,undirected
old_it037,old_it040,50,undirected
old_it037,old_it046,10,undirected
old_it037,old_it049,3,undirected
old_it037,old_it067,4,undirected
old_it037,old_it071,59,undirected
old_it040,old_it026,28,undirected
old_it040,old_it037,50,undirected
old_it040,old_it046,30,undirected
old_it040,old_it047,1,undirected
old_it040,old_it049,4,undirected
old_it040,old_it071,36,undirected
old_it046,old_it010,2,undirected
old_it046,old_it011,7,undirected
old_it046,old_it032,10,undirected
old_it046,old_it037,10,undirected
old_it046,old_it040,30,undirected
old_it046,old_it047,1,undirected
old_it046,old_it049,2,undirected
old_it046,old_it057,5,undirected
old_it046,old_it071,8,undirected
old_it047,old_it006,1,undirected
old_it047,old_it040,1,undirected
old_it047,old_it046,1,undirected
old_it047,old_it057,39,undirected
old_it047,old_it062,20,undirected
old_it047,old_it067,5,undirected
old_it047,old_it069,56,undirected
old_it049,old_it037,3,undirected
old_it049,old_it040,4,undirected
old_it049,old_it046,2,undirected
old_it049,old_it055,32,undirected
old_it049,old_it057,2,undirected
old_it049,old_it062,4,undirected
old_it049,old_it066,15,undirected
old_it049,old_it067,7,undirected
old_it049,old_it071,13,undirected
old_it055,old_it018,1,undirected
old_it055,old_it049,32,undirected
old_it055,old_it057,9,undirected
old_it055,old_it062,40,undirected
old_it055,old_it066,6,undirected
old_it055,old_it067,58,undirected
old_it057,old_it046,5,undirected
old_it057,old_it047,39,undirected
old_it057,old_it049,2,undirected
old_it057,old_it055,9,undirected
old_it057,old_it066,3,undirected
old_it057,old_it069,54,undirected
old_it057,old_it071,1,undirected
old_it062,old_it006,5,undirected
old_it062,old_it011,12,undirected
old_it062,old_it032,3,undirected
old_it062,old_it047,20,undirected
old_it062,old_it049,4,undirected
old_it062,old_it055,40,undirected
old_it062,old_it066,55,undirected
old_it062,old_it067,9,undirected
old_it066,old_it049,15,undirected
old_it066,old_it055,6,undirected
old_it066,old_it057,3,undirected
old_it066,old_it062,55,undirected
old_it066,old_it067,4,undirected
old_it066,old_it071,23,undirected
old_it067,old_it006,2,undirected
old_it067,old_it018,12,undirected
old_it067,old_it037,4,undirected
old_it067,old_it047,5,undirected
old_it067,old_it049,7,undirected
old_it067,old_it055,58,undirected
old_it067,old_it062,9,undirected
old_it067,old_it066,4,undirected
old_it067,old_it069,26,undirected
old_it069,old_it047,56,undirected
old_it069,old_it057,54,undirected
old_it069,old_it067,26,undirected
old_it071,old_it037,59,undirected
old_it071,old_it040,36,undirected
old_it071,old_it046,8,undirected
old_it071,old_it049,13,undirected
old_it071,old_it057,1,undirected
old_it071,old_it066,23,undirected
