Source,Target,Weight,Type
new_pl001,new_pl002,31,undirected
new_pl001,new_pl003,20,undirected
new_pl001,new_pl004,27,undirected
new_pl001,new_pl005,19,undirected
new_pl001,new_pl006,1,undirected
new_pl001,new_pl007,3,undirected
new_pl001,old_pl001,57,undirected
new_pl001,old_pl002,17,undirected
new_pl001,old_pl003,9,undirected
new_pl002,new_pl001,31,undirected
new_pl002,new_pl003,29,undirected
new_pl002,new_pl004,5,undirected
new_pl002,new_pl005,6,undirected
new_pl002,old_pl002,53,undirected
new_pl002,old_pl003,2,undirected
new_pl003,new_pl001,20,undirected
new_pl003,new_pl002,29,undirected
new_pl003,new_pl007,1,undirected
new_pl003,old_pl002,1,undirected
new_pl003,old_pl003,54,undirected
new_pl004,new_pl001,27,undirected
new_pl004,new_pl002,5,undirected
new_pl004,new_pl005,60,undirected
new_pl004,new_pl006,30,undirected
new_pl004,new_pl007,21,undirected
new_pl004,new_pl008,23,undirected
new_pl004,new_pl009,23,undirected
new_pl004,old_pl001,13,undirected
new_pl004,old_pl002,2,undirected
new_pl005,new_pl001,19,undirected
new_pl005,new_pl002,6,undirected
new_pl005,new_pl004,60,undirected
new_pl005,new_pl006,39,undirected
new_pl005,new_pl007,17,undirected
new_pl005,new_pl008,23,undirected
new_pl005,new_pl009,17,undirected
new_pl005,old_pl001,11,undirected
new_pl005,old_pl002,5,undirected
new_pl006,new_pl001,1,undirected
new_pl006,new_pl004,30,undirected
new_pl006,new_pl005,39,undirected
new_pl006,new_pl007,26,undirected
new_pl006,new_pl008,1,undirected
new_pl007,new_pl001,3,undirected
new_pl007,new_pl003,1,undirected
new_pl007,new_pl004,21,undirected
new_pl007,new_pl005,17,undirected
new_pl007,new_pl006,26,undirected
new_pl007,old_pl001,6,undirected
new_pl007,old_pl003,19,undirected
new_pl008,new_pl004,23,undirected
new_pl008,new_pl005,23,undirected
new_pl008,new_pl006,1,undirected
new_pl008,new_pl009,44,undirected
new_pl008,old_pl002,5,undirected
new_pl009,new_pl004,23,undirected
new_pl009,new_pl005,17,undirected
new_pl009,new_pl008,44,undirected
old_pl001,new_pl001,57,undirected
old_pl001,new_pl004,13,undirected
old_pl001,new_pl005,11,undirected
old_pl001,new_pl007,6,undirected
old_pl002,new_pl001,17,undirected
old_pl002,new_pl002,53,undirected
old_pl002,new_pl003,1,undirected
old_pl002,new_pl004,2,undirected
old_pl002,new_pl005,5,undirected
old_pl002,new_pl008,5,undirected
old_pl003,new_pl001,9,undirected
old_pl003,new_pl002,2,undirected
old_pl003,new_pl003,54,undirected
old_pl003,new_pl007,19,undirected
