Source,Target,Weight,Type
new_pl001,new_pl002,21,undirected
new_pl001,new_pl003,21,undirected
new_pl001,new_pl006,3,undirected
new_pl001,old_pl001,60,undirected
new_pl002,new_pl001,21,undirected
new_pl002,new_pl003,40,undirected
new_pl002,new_pl007,1,undirected
new_pl002,new_pl009,2,undirected
new_pl002,old_pl002,60,undirected
new_pl003,new_pl001,21,undirected
new_pl003,new_pl002,40,undirected
new_pl003,new_pl007,16,undirected
new_pl003,old_pl003,60,undirected
new_pl004,new_pl005,60,undirected
new_pl004,new_pl006,13,undirected
new_pl004,new_pl007,2,undirected
new_pl004,new_pl008,17,undirected
new_pl004,new_pl009,18,undirected
new_pl005,new_pl004,60,undirected
new_pl005,new_pl006,14,undirected
new_pl005,new_pl008,16,undirected
new_pl005,new_pl009,9,undirected
new_pl006,new_pl001,3,undirected
new_pl006,new_pl004,13,undirected
new_pl006,new_pl005,14,undirected
new_pl006,new_pl007,52,undirected
new_pl006,new_pl008,40,undirected
new_pl006,new_pl009,30,undirected
new_pl006,old_pl001,4,undirected
new_pl007,new_pl002,1,undirected
new_pl007,new_pl003,16,undirected
new_pl007,new_pl004,2,undirected
new_pl007,new_pl006,52,undirected
new_pl007,new_pl009,5,undirected
new_pl007,old_pl003,21,undirected
new_pl008,new_pl004,17,undirected
new_pl008,new_pl005,16,undirected
new_pl008,new_pl006,40,undirected
new_pl008,new_pl009,58,undirected
new_pl008,old_pl002,5,undirected
new_pl009,new_pl002,2,undirected
new_pl009,new_pl004,18,undirected
new_pl009,new_pl005,9,undirected
new_pl009,new_pl006,30,undirected
new_pl009,new_pl007,5,undirected
new_pl009,new_pl008,58,undirected
old_pl001,new_pl001,60,undirected
old_pl001,new_pl006,4,undirected
old_pl001,old_pl002,25,undirected
old_pl001,old_pl003,34,undirected
old_pl002,new_pl002,60,undirected
old_pl002,new_pl008,5,undirected
old_pl002,old_pl001,25,undirected
old_pl002,old_pl003,13,undirected
old_pl003,new_pl003,60,undirected
old_pl003,new_pl007,21,undirected
old_pl003,old_pl001,34,undirected
old_pl003,old_pl002,13,undirected
