"new_pl001" "new_pl002" "new_pl003" "new_pl004" "new_pl005" "new_pl006" "new_pl007" "new_pl008" "new_pl009" "old_pl001" "old_pl002" "old_pl003"
"się" 2.77613703484938 2.77418089072003 2.77905131370129 2.32873698107672 2.31978597867116 2.33834407062754 2.51843781428093 2.78209109730849 2.65236551093373 2.53822367290844 2.96302887396005 2.95156107430476
"i" 2.19334514668242 2.04433980773004 1.99964732851349 2.41308493472202 2.41506944698941 2.57695060844667 2.20834730137446 2.3076259489303 2.12854410908789 3.10943136918055 2.09102638252436 2.28904669337882
"w" 2.33904311872416 2.43280360996665 2.42285311232587 2.3104004694147 2.30879173232675 2.3105066412153 2.13291987931612 2.25155279503106 2.43202793714143 1.91547844013056 2.16665925167949 1.8804300392748
"na" 2.27603859027368 1.93839513439278 1.93616646094163 2.32140237641191 2.31978597867116 2.25483178239084 2.14968152866242 2.56642512077295 2.15764529807932 1.94983679780107 1.96645459803355 1.65826952830563
"nie" 2.04764717464068 1.8599175985874 2.17598307176865 1.81898195687252 1.8213801443911 1.66626898910363 1.91920885015085 1.75552104899931 2.06618441839195 2.26335681154441 2.11327134404057 2.39615979688182
"do" 1.45697972041741 1.61271336080047 1.74925057309117 1.82264925920493 1.8213801443911 1.80147936053448 1.63426081126383 1.88060731538992 1.56314958011142 1.52465212162859 1.57494327534813 1.72967826397429
"z" 1.60267769245915 1.51069256425348 1.71751013930524 1.55126888660701 1.55018873456225 1.62252445717013 1.70549782098558 1.7123878536922 1.53404839111998 1.49888335337571 1.45926947546381 1.567025032729
"to" 1.53967316400866 1.722581910928 1.60112854875683 1.33123074666275 1.33030380767398 1.38789469498131 1.44150184378143 1.29830917874396 1.6421385216596 1.62343239993128 1.64167815989678 1.49561629706034
"że" 1.4136641071077 1.51069256425348 1.47416681361312 1.30189232800352 1.30098581742222 1.15326493279249 1.35350318471338 1.04813664596273 1.25550843934481 1.49029376395808 1.03661520665569 1.44007616931805
"a" 0.815121086828116 0.820090249166176 0.751190266266972 0.913158280768667 0.912522446586287 1.01407778573133 0.733322158900436 0.806590752242926 0.873035669743078 0.575502490980931 0.769675668461094 0.543499821478161
"co" 0.696987595983461 0.737688836570532 0.839358137894551 0.64177790817075 0.64133103675743 0.660144754632944 0.670465973851827 0.625431331953071 0.623596906959341 0.669987974574815 0.756328691551364 0.737890268576189
"o" 0.637920850561134 0.788699234844026 0.853464997354964 0.601437582514302 0.601018800161249 0.576632466396246 0.50284948038887 0.474465148378192 0.594495717967906 0.669987974574815 0.671797837789741 1.06319673106677
"kristy" 0.283520378027171 1.0437512262115 0.864045141950273 0.766466187472495 0.765932495327445 0.214745884037223 0.498659068052296 0.349378881987578 0.486405587428286 0.352173166122659 0.960982337500556 0.991787995398104
"mary" 0.811183303799961 0.533647243476555 0.394992064891554 0.74446237347807 0.743944002638619 0.516980831941462 0.439993295340261 0.948930296756384 0.577866467115656 0.987802783026971 0.498287137963251 0.46018962986472
"anne" 0.811183303799961 0.521875613105748 0.39146535002645 0.733460466480857 0.732949756294206 0.48516662689891 0.42742205833054 0.944616977225673 0.569551841689532 0.987802783026971 0.484940161053521 0.452255325901535
"po" 0.67336089781453 0.643515793604081 0.627755245988362 0.612439489511515 0.612013046505662 0.584586017656884 0.649513912168957 0.586611456176674 0.727529724785898 0.601271259233809 0.671797837789741 0.519696909588606
"ale" 0.543414057885411 0.494408475573867 0.624228531123259 0.597770280181898 0.597354051379778 0.56072536387497 0.582467314783775 0.582298136645963 0.735844350212023 0.760178663459887 0.547226053298928 0.364977982306502
"tak" 0.610356369364048 0.655287423974887 0.666549109504497 0.520756931201408 0.520394326968886 0.469259524377635 0.486087831042575 0.496031746031746 0.515506776419722 0.58838687510737 0.645103883970281 0.630777165073194
"jest" 0.515849576688324 0.541494997057092 0.440839358137895 0.656447117500367 0.655990031883314 0.44937564622604 0.691418035534697 0.474465148378192 0.586181092541781 0.545438928019241 0.444899230324332 0.630777165073194
"jak" 0.523725142744635 0.674906807926231 0.521953800035267 0.517089628869004 0.516729578187415 0.489143402529229 0.540563191418036 0.543478260869565 0.544607965411158 0.554028517436867 0.631756907060551 0.495893997699052
"powiedziała" 0.401653868871825 0.423778693349029 0.363251631105625 0.469414698547748 0.469087844028292 0.616400222699435 0.683037210861549 0.293305728088337 0.465619023862975 0.858958941762584 0.209102638252436 0.67441583687071
"kiedy" 0.511911793660169 0.482636845203061 0.465526362193617 0.517089628869004 0.516729578187415 0.413584665553169 0.50284948038887 0.496031746031746 0.56539452897647 0.493901391513486 0.306980468923789 0.424485262030388
"mnie" 0.362276038590274 0.415930939768491 0.486686651384236 0.451078186885727 0.450764100120937 0.37381690924998 0.389708347301374 0.5175983436853 0.36584351874948 0.334993987287408 0.484940161053521 0.5752370373309
"ja" 0.381964953731049 0.35707278791446 0.387938635161347 0.421739768226493 0.421446109869168 0.433468543704764 0.431612470667114 0.470151828847481 0.45730439843685 0.468132623260608 0.484940161053521 0.440353869956758
"tym" 0.472533963378618 0.431626446929566 0.430259213542585 0.432741675223705 0.432440356213582 0.453352421856359 0.423231645993966 0.36231884057971 0.45730439843685 0.283456450781653 0.298082484317302 0.368945134288095
"za" 0.393778302815515 0.360996664704728 0.327984482454594 0.381399442570045 0.381133873272987 0.425514992444126 0.372946697955079 0.41407867494824 0.461461711149913 0.433774265590105 0.409307291898385 0.297536398619431
"mi" 0.358338255562119 0.490484598783598 0.497266795979545 0.399735954232067 0.399457617180342 0.290304621013282 0.280757626550453 0.392512077294686 0.361686206036418 0.373647139666724 0.422654268808115 0.333240766453763
"stacey" 0.614294152392203 0.588581518540318 0.208076177041086 0.187032418952618 0.186902187855023 0.441422094965402 0.322661749916192 0.224292615596963 0.399102020453979 0.730115100498196 0.556124037905414 0.238029118895545
"jej" 0.429218350068911 0.337453403963116 0.296244048668665 0.43640897755611 0.436105104995053 0.270420742861688 0.615990613476366 0.245859213250518 0.27438263906211 0.377941934375537 0.280286515104329 0.309437854564208
"już" 0.417405000984446 0.41985481655876 0.419679068947276 0.297051488924747 0.296844651299153 0.385747236140937 0.293328863560174 0.340752242926156 0.291011889914359 0.244803298402336 0.476042176447035 0.313405006545801
"czy" 0.39771608584367 0.372768295075535 0.310350908129078 0.363062930908024 0.362810129365632 0.306211723534558 0.368756285618505 0.211352657004831 0.220337573792301 0.373647139666724 0.262490545891356 0.368945134288095
"domu" 0.366213821618429 0.317834020011772 0.236289895961911 0.352061023910811 0.351815883021219 0.322118826055834 0.284948038887026 0.250172532781228 0.374158144175605 0.360762755540285 0.266939538194599 0.198357599079621
"pani" 0.216578066548533 0.204041593093977 0.236289895961911 0.674783629162388 0.67431377579067 0.0596516344547841 0.247234327857861 0.146652864044168 0.166292508522491 0.27916165607284 0.258041553588112 0.301503550601024
"mama" 0.417405000984446 0.0941730429664508 0.250396755422324 0.260378465600704 0.260197163484443 0.548795036984013 0.318471337579618 0.125086266390614 0.299326515340484 0.489606596804673 0.084530853761623 0.349109374380133
"tylko" 0.307147076196102 0.32175789680204 0.303297478398871 0.275047674930321 0.274856158610327 0.246560089079774 0.272376801877305 0.297619047619048 0.307641140766608 0.249098093111149 0.378164345775682 0.253897726821915
"tego" 0.291395944083481 0.329605650382578 0.430259213542585 0.249376558603491 0.24920291714003 0.246560089079774 0.305900100569896 0.276052449965493 0.349214267897231 0.236213708984711 0.213551630555679 0.218193358987583
"powiedziałam" 0.185075802323292 0.196193839513439 0.211602891906189 0.33372451224879 0.333492139113864 0.342002704207429 0.398089171974522 0.250172532781228 0.278539951775173 0.455248239134169 0.0578368999421631 0.273733486729877
"claudia" 0.515849576688324 0.0510103982734942 0.39146535002645 0.124688279301746 0.124601458570015 0.250536864710093 0.0921890714046262 0.0690131124913734 0.345056955184169 0.644219206321938 0.129020776794056 0.47605823779109
"od" 0.25989367985824 0.211889346674514 0.285663904073356 0.28238227959513 0.282185656173269 0.294281396643601 0.259805564867583 0.215665976535542 0.324270391618858 0.197560556605394 0.235796592071896 0.297536398619431
"może" 0.240204764717464 0.282519128899353 0.183389172985364 0.227372744609066 0.227214424451204 0.163047800843076 0.280757626550453 0.215665976535542 0.315955766192733 0.270572066655214 0.342572407349735 0.238029118895545
"sobie" 0.232329198661154 0.211889346674514 0.225709751366602 0.260378465600704 0.260197163484443 0.206792332776585 0.255615152531009 0.280365769496204 0.241124137357612 0.193265761896581 0.280286515104329 0.285634942674654
"żeby" 0.255955896830085 0.231508730625858 0.232763181096808 0.267713070265513 0.267526661047385 0.214745884037223 0.243043915521287 0.250172532781228 0.191236384800865 0.283456450781653 0.186857676736219 0.265799182766692
"było" 0.212640283520378 0.180498332352364 0.20102274731088 0.242041953938683 0.241873419577088 0.206792332776585 0.196949379818974 0.254485852311939 0.386630082314792 0.27916165607284 0.182408684432976 0.190423295116436
"ze" 0.200826934435913 0.255051991367471 0.289190618938459 0.201701628282236 0.201561182980907 0.234629762188817 0.188568555145826 0.232919254658385 0.216180261079238 0.193265761896581 0.177959692129733 0.269766334748284
"bardzo" 0.208702500492223 0.200117716303708 0.229236466231705 0.223705442276661 0.223549675669733 0.159071025212757 0.263995977204157 0.211352657004831 0.228652199218425 0.236213708984711 0.173510699826489 0.253897726821915
"przez" 0.181138019295137 0.243280360996665 0.193969317580674 0.234707349273874 0.234543922014146 0.246560089079774 0.1927589674824 0.224292615596963 0.220337573792301 0.201855351314207 0.191306669039463 0.218193358987583
"coś" 0.212640283520378 0.247204237786933 0.183389172985364 0.135690186298958 0.135595704914428 0.202815557146266 0.184378142809252 0.176846100759144 0.203708322940052 0.253392887819962 0.311429461227032 0.285634942674654
"ma" 0.220515849576688 0.188346085932902 0.186915887850467 0.20536893061464 0.205225931762378 0.214745884037223 0.188568555145826 0.176846100759144 0.224494886505363 0.300635629616904 0.182408684432976 0.190423295116436
"nas" 0.216578066548533 0.180498332352364 0.306824193263975 0.135690186298958 0.135595704914428 0.218722659667542 0.238853503184713 0.185472739820566 0.141348632244117 0.197560556605394 0.142367753703786 0.337207918435355
"jeszcze" 0.185075802323292 0.176574455562095 0.215129606771293 0.194367023617427 0.194231685417965 0.190885230255309 0.155045256453235 0.241545893719807 0.224494886505363 0.197560556605394 0.191306669039463 0.241996270877137
"też" 0.196889151407757 0.156955071610751 0.215129606771293 0.23104004694147 0.230879173232675 0.163047800843076 0.184378142809252 0.198412698412698 0.216180261079238 0.210444940731833 0.222449615162166 0.166620383226881
"była" 0.169324670210671 0.153031194820483 0.193969317580674 0.223705442276661 0.223549675669733 0.171001352103714 0.293328863560174 0.15527950310559 0.249438762783737 0.188970967187768 0.124571784490813 0.218193358987583
"karen" 0.354400472533963 0.137335687659407 0 0.183365116620214 0.183237439073552 0.576632466396246 0.146664431780087 0.0905797101449275 0.141348632244117 0.425184676172479 0.10677581527784 0
"naprawdę" 0.220515849576688 0.239356484206396 0.176335743255158 0.216370837611853 0.216220178106791 0.147140698321801 0.175997318136105 0.245859213250518 0.199551010226989 0.201855351314207 0.164612715220003 0.0753758876502559
"dla" 0.0945067926757236 0.184422209142633 0.25745018515253 0.17969781428781 0.17957269029208 0.258490415970731 0.263995977204157 0.219979296066253 0.103932817826557 0.0987802783026971 0.10677581527784 0.293569246637839
"dzieci" 0.126009056900965 0.102020796546988 0.119908305413507 0.23104004694147 0.230879173232675 0.461305973116997 0.167616493462957 0.224292615596963 0.0997755051134946 0.214739735440646 0.0489389153356765 0.174554687190066
"będzie" 0.189013585351447 0.156955071610751 0.176335743255158 0.168695907290597 0.168578443947667 0.29825817227392 0.217901441501844 0.10351966873706 0.0831462542612455 0.219034530149459 0.102326822974596 0.249930574840322
"dobrze" 0.204764717464068 0.180498332352364 0.165755598659848 0.12835558163415 0.128266207351486 0.206792332776585 0.217901441501844 0.112146307798482 0.0831462542612455 0.390826318501976 0.124571784490813 0.134883167374142
"mam" 0.271707028942705 0.137335687659407 0.193969317580674 0.150359395628576 0.150254700040312 0.131233595800525 0.163426081126383 0.120772946859903 0.137191319531055 0.210444940731833 0.133469769097299 0.234061966913952
"powiedział" 0.106320141760189 0.149107318030214 0.0705342973020631 0.150359395628576 0.150254700040312 0.218722659667542 0.201139792155548 0.237232574189096 0.224494886505363 0.270572066655214 0.0889798460648663 0.142817471337327
"wszystko" 0.177200236266982 0.153031194820483 0.148122024334333 0.165028604958193 0.164913695166196 0.15111747395212 0.167616493462957 0.150966183574879 0.120562068678806 0.227624119567085 0.169061707523246 0.194390447098028
"go" 0.165386887182516 0.235432607416127 0.0952213013577852 0.172363209623001 0.172243192729138 0.167024576473395 0.142474019443513 0.172532781228433 0.166292508522491 0.180381377770143 0.200204653645949 0.11504740746618
"teraz" 0.110257924788344 0.184422209142633 0.208076177041086 0.15402669796098 0.153919448821783 0.182931678994671 0.180187730472678 0.107832988267771 0.195393697513927 0.137433430682013 0.169061707523246 0.154718927282104
"no" 0.212640283520378 0.172650578771827 0.141068594604126 0.0916825583101071 0.0916187195367758 0.0556748588244651 0.0796178343949045 0.146652864044168 0.178764446661678 0.167496993643704 0.320327445833519 0.285634942674654
"ją" 0.12994683992912 0.176574455562095 0.137541879739023 0.15402669796098 0.153919448821783 0.159071025212757 0.31009051290647 0.107832988267771 0.157977883096367 0.115959457137949 0.164612715220003 0.138850319355735
"mimi" 0.0236266981689309 0.188346085932902 0.0529007229765473 0.0146692093296171 0.0146589951258841 0.0357909806728704 1.26550452564532 0.0301932367149758 0.00415731271306228 0.0343583576705034 0.195755661342706 0.0872773435950331
"był" 0.12207127387281 0.153031194820483 0.0740610121671663 0.190699721285023 0.190566936636494 0.178954903364352 0.142474019443513 0.185472739820566 0.245281450070674 0.128843841264388 0.142367753703786 0.095211647558218
"tam" 0.126009056900965 0.137335687659407 0.12343502027861 0.17969781428781 0.17957269029208 0.155094249582439 0.0838082467314784 0.181159420289855 0.23696682464455 0.1331386359732 0.173510699826489 0.0634744317054786
"są" 0.157511321126206 0.125564057288601 0.165755598659848 0.143024790963767 0.14292520247737 0.218722659667542 0.121521957760644 0.107832988267771 0.128876694104931 0.158907404226078 0.0756328691551364 0.194390447098028
"buddy" 0 0 0 0.770133489804899 0.769597244108916 0 0.0377137110291653 0 0.0166292508522491 0 0 0
"nic" 0.102382358732034 0.109868550127526 0.116381590548404 0.139357488631363 0.139260453695899 0.123280044539887 0.129902782433791 0.15527950310559 0.191236384800865 0.124549046555575 0.191306669039463 0.170587535208474
"zapytała" 0.118133490844654 0.219737100255052 0.183389172985364 0.146692093296171 0.146589951258841 0.139187147061163 0.209520616828696 0.116459627329193 0.128876694104931 0 0.0444899230324332 0.202324751061213
"razem" 0.189013585351447 0.16087894840102 0.116381590548404 0.161361302625788 0.161248946384725 0.11134971764893 0.113141133087496 0.133712905452036 0.14550594495718 0.171791788352517 0.124571784490813 0.0833101916134407
"potem" 0.12994683992912 0.12948793407887 0.130488450008817 0.15402669796098 0.153919448821783 0.159071025212757 0.175997318136105 0.163906142167012 0.103932817826557 0.0858958941762584 0.151265738310273 0.122981711429365
"nawet" 0.110257924788344 0.145183441239945 0.165755598659848 0.139357488631363 0.139260453695899 0.103396166388292 0.150854844116661 0.15527950310559 0.137191319531055 0.107369867720323 0.142367753703786 0.158686079263697
"drzwi" 0.161449104154361 0.231508730625858 0.06700758243696 0.168695907290597 0.168578443947667 0.0516980831941462 0.0754274220583305 0.05175983436853 0.116404755965744 0.197560556605394 0.200204653645949 0.0833101916134407
"być" 0.133884622957275 0.125564057288601 0.12343502027861 0.121020976969341 0.120936709788544 0.194862005885628 0.188568555145826 0.0690131124913734 0.124719381391868 0.1331386359732 0.071183876851893 0.134883167374142
"jeśli" 0.145697972041741 0.141259564449676 0.105801445953095 0.0990171629749157 0.0989482170997178 0.0914658394973356 0.113141133087496 0.112146307798482 0.0914608796873701 0.249098093111149 0.129020776794056 0.174554687190066
"ty" 0.185075802323292 0.12948793407887 0.0916945864926821 0.12835558163415 0.128266207351486 0.11134971764893 0.121521957760644 0.0948930296756384 0.120562068678806 0.180381377770143 0.160163722916759 0.0793430396318483
"jestem" 0.126009056900965 0.141259564449676 0.126961735143714 0.15402669796098 0.153919448821783 0.0914658394973356 0.163426081126383 0.0992063492063492 0.0997755051134946 0.111664662429136 0.0978778306713529 0.142817471337327
"pokoju" 0.12994683992912 0.0824014125956445 0.0881678716275789 0.143024790963767 0.14292520247737 0.0914658394973356 0.146664431780087 0.0603864734299517 0.270225326349048 0.146023020099639 0.0889798460648663 0.11504740746618
"przy" 0.141760189013585 0.168726701981558 0.116381590548404 0.0843479536452985 0.0842892219738337 0.135210371430844 0.129902782433791 0.15527950310559 0.0997755051134946 0.107369867720323 0.191306669039463 0.103145951521403
"więc" 0.110257924788344 0.117716303708064 0.0952213013577852 0.0953498606425114 0.0952834683182468 0.0835122882366977 0.138283607106939 0.0992063492063492 0.124719381391868 0.167496993643704 0.258041553588112 0.122981711429365
"trochę" 0.110257924788344 0.113792426917795 0.112854875683301 0.139357488631363 0.139260453695899 0.107372942018611 0.184378142809252 0.168219461697723 0.157977883096367 0.0987802783026971 0.0578368999421631 0.0872773435950331
"och" 0.0630045284504824 0.12948793407887 0.0811144418973726 0.110019069972128 0.109942463444131 0.11134971764893 0.163426081126383 0.0992063492063492 0.0914608796873701 0.334993987287408 0.137918761400543 0.0515729757607014
"jamie" 0.0866312266194133 0.133411810869139 0.222183036501499 0 0 0.0159071025212758 0.280757626550453 0 0.195393697513927 0.111664662429136 0.12012279218757 0.289602094656246
"pike" 0.0236266981689309 0.0117716303708064 0.0246870040557221 0.260378465600704 0.260197163484443 0.0119303268909568 0.0921890714046262 0.543478260869565 0.162135195809429 0.0300635629616904 0.00889798460648663 0.0238029118895545
"wiem" 0.12994683992912 0.121640180498332 0.12343502027861 0.121020976969341 0.120936709788544 0.0755587369760598 0.0963794837412001 0.0948930296756384 0.0956181924004324 0.180381377770143 0.0978778306713529 0.126948863410957
"janine" 0.114195707816499 0.141259564449676 0.0352671486510316 0.0330057209916386 0.0329827390332393 0 0.800368756285619 0 0 0.120254251846762 0.111224807581083 0.0357043678343317
"ci" 0.126009056900965 0.0863252893859133 0.119908305413507 0.110019069972128 0.109942463444131 0.0835122882366977 0.11733154542407 0.112146307798482 0.074831628835121 0.1331386359732 0.137918761400543 0.162653231245289
"miała" 0.133884622957275 0.113792426917795 0.116381590548404 0.106351767639724 0.10627771466266 0.103396166388292 0.163426081126383 0.0646997929606625 0.103932817826557 0.146023020099639 0.071183876851893 0.119014559447772
"końcu" 0.181138019295137 0.102020796546988 0.119908305413507 0.106351767639724 0.10627771466266 0.123280044539887 0.0921890714046262 0.198412698412698 0.112247443252681 0.0687167153410067 0.0756328691551364 0.0515729757607014
"wtedy" 0.12994683992912 0.149107318030214 0.0846411567624758 0.165028604958193 0.164913695166196 0.0994193907579734 0.0796178343949045 0.0948930296756384 0.137191319531055 0.0429479470881292 0.0978778306713529 0.0793430396318483
"tu" 0.0945067926757236 0.0431626446929566 0.112854875683301 0.121020976969341 0.120936709788544 0.155094249582439 0.104760308414348 0.125086266390614 0.174607133948616 0.0901906888850713 0.102326822974596 0.0833101916134407
"mamy" 0.0905690096475684 0.0863252893859133 0.0987480162228884 0.117353674636937 0.117271961007073 0.178954903364352 0.142474019443513 0.0733264320220842 0.137191319531055 0.10307507301151 0.071183876851893 0.103145951521403
"andrew" 0.212640283520378 0.0745536590151069 0 0.0990171629749157 0.0952834683182468 0.290304621013282 0.113141133087496 0.0733264320220842 0.0706743161220587 0.257687682528775 0.0489389153356765 0
"zapytałam" 0.141760189013585 0.0941730429664508 0.162228883794745 0.124688279301746 0.124601458570015 0.0676051857154219 0.138283607106939 0.116459627329193 0.0873035669743078 0.0343583576705034 0.0266939538194599 0.162653231245289
"siebie" 0.141760189013585 0.105944673337257 0.12343502027861 0.10268446530732 0.102612965881189 0.115326493279249 0.0796178343949045 0.15527950310559 0.149663257670242 0.115959457137949 0.0311429461227032 0.0714087356686635
"ten" 0.0984445757038787 0.141259564449676 0.105801445953095 0.0843479536452985 0.0842892219738337 0.0795355126063787 0.0628561850486088 0.0992063492063492 0.103932817826557 0.0944854835938842 0.231347599768652 0.126948863410957
"jednak" 0.13782240598543 0.156955071610751 0.116381590548404 0.0696787443156814 0.0696302268479496 0.0715819613457409 0.134093194770365 0.142339544513458 0.137191319531055 0.0343583576705034 0.0800818614583797 0.146784623318919
"ona" 0.149635755069896 0.102020796546988 0.102274731087992 0.143024790963767 0.14292520247737 0.0676051857154219 0.175997318136105 0.0474465148378192 0.0914608796873701 0.10307507301151 0.084530853761623 0.0714087356686635
"później" 0.161449104154361 0.105944673337257 0.105801445953095 0.113686372304533 0.113607212225602 0.063628410085103 0.113141133087496 0.150966183574879 0.112247443252681 0.0858958941762584 0.133469769097299 0.0357043678343317
"wszystkie" 0.12207127387281 0.125564057288601 0.0705342973020631 0.10268446530732 0.102612965881189 0.139187147061163 0.138283607106939 0.077639751552795 0.157977883096367 0.107369867720323 0.0756328691551364 0.0714087356686635
"ich" 0.0748178775349478 0.0980969197567196 0.137541879739023 0.135690186298958 0.135595704914428 0.198838781515947 0.0754274220583305 0.107832988267771 0.0914608796873701 0.0644219206321938 0.0489389153356765 0.0793430396318483
"je" 0.0669423114786375 0.0941730429664508 0.151648739199436 0.117353674636937 0.117271961007073 0.119303268909568 0.0754274220583305 0.0948930296756384 0.157977883096367 0.0944854835938842 0.0177959692129733 0.119014559447772
"u" 0.0984445757038787 0.102020796546988 0.137541879739023 0.117353674636937 0.117271961007073 0.0755587369760598 0.113141133087496 0.0431331953071084 0.0831462542612455 0.0816010994674455 0.0934288383681096 0.162653231245289
"czym" 0.118133490844654 0.125564057288601 0.109328160818198 0.0843479536452985 0.0842892219738337 0.0835122882366977 0.113141133087496 0.0948930296756384 0.157977883096367 0.158907404226078 0.0756328691551364 0.0317372158527393
"przed" 0.0866312266194133 0.109868550127526 0.0987480162228884 0.0916825583101071 0.0916187195367758 0.119303268909568 0.125712370097218 0.112146307798482 0.103932817826557 0.0858958941762584 0.0978778306713529 0.111080255484588
"byłam" 0.0945067926757236 0.0627820286443006 0.130488450008817 0.0880152559777028 0.0879539707553047 0.0994193907579734 0.0921890714046262 0.133712905452036 0.137191319531055 0.0944854835938842 0.0444899230324332 0.119014559447772
"suzi" 0 0 0 0.524424233533813 0.524059075750357 0 0.0377137110291653 0 0.00831462542612455 0 0 0
"właśnie" 0.0748178775349478 0.109868550127526 0.116381590548404 0.0696787443156814 0.0696302268479496 0.119303268909568 0.104760308414348 0.0948930296756384 0.0706743161220587 0.0773063047586325 0.102326822974596 0.166620383226881
"tej" 0.0590667454223272 0.145183441239945 0.130488450008817 0.10268446530732 0.102612965881189 0.0874890638670166 0.0963794837412001 0.0690131124913734 0.116404755965744 0.0687167153410067 0.071183876851893 0.107113103502995
"gdzie" 0.0905690096475684 0.0902491661761821 0.0529007229765473 0.15402669796098 0.153919448821783 0.107372942018611 0.0754274220583305 0.0862663906142167 0.0914608796873701 0.0816010994674455 0.12012279218757 0.0555401277422938
"prostu" 0.114195707816499 0.102020796546988 0.105801445953095 0.10268446530732 0.102612965881189 0.107372942018611 0.134093194770365 0.0819530710835059 0.0831462542612455 0.107369867720323 0.111224807581083 0.00396715198159241
"klubu" 0.0826934435912581 0.0706297822248381 0.183389172985364 0.0953498606425114 0.0952834683182468 0.0676051857154219 0.0879986590680523 0.0301932367149758 0.0332585017044982 0.0901906888850713 0.0889798460648663 0.194390447098028
"która" 0.126009056900965 0.0902491661761821 0.105801445953095 0.12835558163415 0.128266207351486 0.123280044539887 0.0628561850486088 0.0603864734299517 0.0789889415481833 0.0987802783026971 0.0355919384259465 0.0793430396318483
"które" 0.106320141760189 0.105944673337257 0.105801445953095 0.121020976969341 0.120936709788544 0.0954426151276545 0.0879986590680523 0.0992063492063492 0.0706743161220587 0.0730115100498196 0.0489389153356765 0.0872773435950331
"tata" 0.0826934435912581 0.0706297822248381 0.169282313524952 0.0990171629749157 0.0989482170997178 0.0119303268909568 0.163426081126383 0.0560731538992409 0.0207865635653114 0.0858958941762584 0.0533879076389198 0.202324751061213
"albo" 0.110257924788344 0.0745536590151069 0.102274731087992 0.0953498606425114 0.0952834683182468 0.0795355126063787 0.0921890714046262 0.0733264320220842 0.0914608796873701 0.167496993643704 0.0978778306713529 0.0515729757607014
"rzeczy" 0.0826934435912581 0.0784775358053757 0.0987480162228884 0.135690186298958 0.131930956132957 0.0795355126063787 0.0879986590680523 0.0948930296756384 0.174607133948616 0.107369867720323 0.0444899230324332 0.00396715198159241
"bo" 0.12207127387281 0.0745536590151069 0.109328160818198 0.0770133489804899 0.0769597244108916 0.0437445319335083 0.0460945357023131 0.0690131124913734 0.0498877525567473 0.154612609517265 0.213551630555679 0.0991787995398104
"michael" 0.145697972041741 0.0353148911124191 0.0141068594604126 0.05134223265366 0.0513064829405944 0.322118826055834 0.125712370097218 0.0345065562456867 0.0789889415481833 0.210444940731833 0.0311429461227032 0.0198357599079621
"david" 0.145697972041741 0.0353148911124191 0.0141068594604126 0.0476749303212557 0.0476417341591234 0.322118826055834 0.125712370097218 0.0345065562456867 0.074831628835121 0.214739735440646 0.0311429461227032 0.0198357599079621
"nam" 0.0984445757038787 0.0706297822248381 0.102274731087992 0.0623441396508728 0.0623007292850075 0.0994193907579734 0.0838082467314784 0.120772946859903 0.0831462542612455 0.124549046555575 0.0934288383681096 0.103145951521403
"nigdy" 0.0708800945067927 0.0863252893859133 0.0599541527067537 0.0880152559777028 0.0879539707553047 0.0755587369760598 0.0879986590680523 0.142339544513458 0.124719381391868 0.0687167153410067 0.084530853761623 0.119014559447772
"kilka" 0.078755660563103 0.0510103982734942 0.0881678716275789 0.172363209623001 0.172243192729138 0.0676051857154219 0.108950720750922 0.150966183574879 0.0956181924004324 0.00858958941762584 0.00444899230324332 0.0595072797238862
"charlotte" 0.00393778302815515 0.156955071610751 0.296244048668665 0.00366730233240428 0.00366474878147103 0.0198838781515947 0.050284948038887 0 0.00415731271306228 0.00429479470881292 0.129020776794056 0.36101083032491
"dobra" 0.078755660563103 0.102020796546988 0.119908305413507 0.10268446530732 0.102612965881189 0.0954426151276545 0.050284948038887 0.0992063492063492 0.128876694104931 0.0472427417969421 0.0533879076389198 0.0595072797238862
"opiekunek" 0.169324670210671 0.0627820286443006 0.225709751366602 0.0696787443156814 0.0696302268479496 0.0914658394973356 0.104760308414348 0.0345065562456867 0.0291011889914359 0.0257687682528775 0.00444899230324332 0.13091601539255
"watson" 0.303209293167946 0.0588581518540318 0.00352671486510316 0.0146692093296171 0.0146589951258841 0.190885230255309 0.0125712370097218 0.05175983436853 0.00831462542612455 0.365057550249098 0.0489389153356765 0.00396715198159241
"dawn" 0 0 0 0.150359395628576 0.150254700040312 0.345979479837748 0.171806905799531 0.0690131124913734 0.137191319531055 0 0 0
"raz" 0.0590667454223272 0.0863252893859133 0.0564274378416505 0.0953498606425114 0.0952834683182468 0.0755587369760598 0.0921890714046262 0.10351966873706 0.0789889415481833 0.115959457137949 0.10677581527784 0.0714087356686635
"chwilę" 0.141760189013585 0.113792426917795 0.102274731087992 0.0623441396508728 0.0623007292850075 0.0755587369760598 0.125712370097218 0.0992063492063492 0.074831628835121 0.0601271259233809 0.0489389153356765 0.0515729757607014
