Source,Target,Weight,Type
old_es002,old_es004,60,undirected
old_es002,old_es009,6,undirected
old_es002,old_es016,50,undirected
old_es002,old_es019,7,undirected
old_es004,old_es002,60,undirected
old_es004,old_es012,9,undirected
old_es004,old_es016,38,undirected
old_es004,old_es019,12,undirected
old_es008,old_es009,59,undirected
old_es008,old_es018,43,undirected
old_es008,old_es024,23,undirected
old_es009,old_es002,6,undirected
old_es009,old_es008,59,undirected
old_es009,old_es018,25,undirected
old_es009,old_es029,22,undirected
old_es012,old_es004,9,undirected
old_es012,old_es014,46,undirected
old_es012,old_es015,25,undirected
old_es012,old_es019,54,undirected
old_es012,old_es022,1,undirected
old_es012,old_es027,9,undirected
old_es014,old_es012,46,undirected
old_es014,old_es015,41,undirected
old_es014,old_es019,11,undirected
old_es014,old_es022,40,undirected
old_es014,old_es024,14,undirected
old_es015,old_es012,25,undirected
old_es015,old_es014,41,undirected
old_es015,old_es019,13,undirected
old_es015,old_es024,1,undirected
old_es015,old_es027,21,undirected
old_es016,old_es002,50,undirected
old_es016,old_es004,38,undirected
old_es016,old_es027,16,undirected
old_es016,old_es032,32,undirected
old_es018,old_es008,43,undirected
old_es018,old_es009,25,undirected
old_es018,old_es024,17,undirected
old_es018,old_es028,55,undirected
old_es019,old_es002,7,undirected
old_es019,old_es004,12,undirected
old_es019,old_es012,54,undirected
old_es019,old_es014,11,undirected
old_es019,old_es015,13,undirected
old_es019,old_es022,34,undirected
old_es019,old_es027,3,undirected
old_es022,old_es012,1,undirected
old_es022,old_es014,40,undirected
old_es022,old_es019,34,undirected
old_es022,old_es024,28,undirected
old_es022,old_es028,3,undirected
old_es022,old_es029,2,undirected
old_es024,old_es008,23,undirected
old_es024,old_es014,14,undirected
old_es024,old_es015,1,undirected
old_es024,old_es018,17,undirected
old_es024,old_es022,28,undirected
old_es024,old_es028,2,undirected
old_es024,old_es030,12,undirected
old_es024,old_es032,4,undirected
old_es024,olds_es030,9,undirected
old_es027,old_es012,9,undirected
old_es027,old_es015,21,undirected
old_es027,old_es016,16,undirected
old_es027,old_es019,3,undirected
old_es027,old_es028,1,undirected
old_es027,old_es032,36,undirected
old_es028,old_es018,55,undirected
old_es028,old_es022,3,undirected
old_es028,old_es024,2,undirected
old_es028,old_es027,1,undirected
old_es028,old_es029,25,undirected
old_es028,old_es030,10,undirected
old_es028,olds_es030,4,undirected
old_es029,old_es009,22,undirected
old_es029,old_es022,2,undirected
old_es029,old_es028,25,undirected
old_es029,old_es030,34,undirected
old_es029,old_es032,20,undirected
old_es029,olds_es030,27,undirected
old_es030,old_es024,12,undirected
old_es030,old_es028,10,undirected
old_es030,old_es029,34,undirected
old_es030,old_es030,36,undirected
old_es030,old_es032,10,undirected
old_es030,olds_es030,18,undirected
old_es032,old_es016,32,undirected
old_es032,old_es024,4,undirected
old_es032,old_es027,36,undirected
old_es032,old_es029,20,undirected
old_es032,old_es030,10,undirected
old_es032,olds_es030,6,undirected
olds_es030,old_es024,9,undirected
olds_es030,old_es028,4,undirected
olds_es030,old_es029,27,undirected
olds_es030,old_es030,18,undirected
olds_es030,old_es032,6,undirected
olds_es030,olds_es030,48,undirected
