Source,Target,Weight,Type
old_es002,old_es004,60,undirected
old_es002,old_es009,3,undirected
old_es002,old_es016,50,undirected
old_es002,old_es019,9,undirected
old_es004,old_es002,60,undirected
old_es004,old_es012,3,undirected
old_es004,old_es016,20,undirected
old_es004,old_es019,18,undirected
old_es008,old_es009,43,undirected
old_es008,old_es014,5,undirected
old_es008,old_es015,5,undirected
old_es008,old_es016,1,undirected
old_es008,old_es018,22,undirected
old_es008,old_es029,1,undirected
old_es009,old_es002,3,undirected
old_es009,old_es008,43,undirected
old_es009,old_es012,1,undirected
old_es009,old_es015,2,undirected
old_es009,old_es018,24,undirected
old_es009,old_es019,8,undirected
old_es009,old_es029,22,undirected
old_es012,old_es004,3,undirected
old_es012,old_es009,1,undirected
old_es012,old_es014,27,undirected
old_es012,old_es015,19,undirected
old_es012,old_es019,54,undirected
old_es012,old_es022,2,undirected
old_es012,old_es029,1,undirected
old_es014,old_es008,5,undirected
old_es014,old_es012,27,undirected
old_es014,old_es015,36,undirected
old_es014,old_es018,1,undirected
old_es014,old_es019,39,undirected
old_es014,old_es022,34,undirected
old_es014,old_es024,9,undirected
old_es014,old_es028,2,undirected
old_es015,old_es008,5,undirected
old_es015,old_es009,2,undirected
old_es015,old_es012,19,undirected
old_es015,old_es014,36,undirected
old_es015,old_es019,29,undirected
old_es015,old_es027,22,undirected
old_es015,old_es029,2,undirected
old_es015,old_es030,2,undirected
old_es016,old_es002,50,undirected
old_es016,old_es004,20,undirected
old_es016,old_es008,1,undirected
old_es016,old_es027,5,undirected
old_es016,old_es029,5,undirected
old_es016,old_es030,4,undirected
old_es016,old_es032,10,undirected
old_es018,old_es008,22,undirected
old_es018,old_es009,24,undirected
old_es018,old_es014,1,undirected
old_es018,old_es022,1,undirected
old_es018,old_es024,8,undirected
old_es018,old_es028,54,undirected
old_es018,old_es029,8,undirected
old_es019,old_es002,9,undirected
old_es019,old_es004,18,undirected
old_es019,old_es009,8,undirected
old_es019,old_es012,54,undirected
old_es019,old_es014,39,undirected
old_es019,old_es015,29,undirected
old_es019,old_es022,39,undirected
old_es019,old_es027,13,undirected
old_es019,old_es029,11,undirected
old_es022,old_es012,2,undirected
old_es022,old_es014,34,undirected
old_es022,old_es018,1,undirected
old_es022,old_es019,39,undirected
old_es022,old_es024,19,undirected
old_es022,old_es027,7,undirected
old_es022,old_es028,4,undirected
old_es022,old_es029,8,undirected
old_es022,old_es030,2,undirected
old_es024,old_es014,9,undirected
old_es024,old_es018,8,undirected
old_es024,old_es022,19,undirected
old_es024,old_es029,4,undirected
old_es024,old_es030,16,undirected
old_es024,olds_es030,10,undirected
old_es027,old_es015,22,undirected
old_es027,old_es016,5,undirected
old_es027,old_es019,13,undirected
old_es027,old_es022,7,undirected
old_es027,old_es029,1,undirected
old_es027,old_es032,12,undirected
old_es028,old_es014,2,undirected
old_es028,old_es018,54,undirected
old_es028,old_es022,4,undirected
old_es028,old_es029,7,undirected
old_es028,old_es030,18,undirected
old_es028,olds_es030,8,undirected
old_es029,old_es008,1,undirected
old_es029,old_es009,22,undirected
old_es029,old_es012,1,undirected
old_es029,old_es015,2,undirected
old_es029,old_es016,5,undirected
old_es029,old_es018,8,undirected
old_es029,old_es019,11,undirected
old_es029,old_es022,8,undirected
old_es029,old_es024,4,undirected
old_es029,old_es027,1,undirected
old_es029,old_es028,7,undirected
old_es029,old_es030,47,undirected
old_es029,old_es032,20,undirected
old_es029,olds_es030,37,undirected
old_es030,old_es015,2,undirected
old_es030,old_es016,4,undirected
old_es030,old_es022,2,undirected
old_es030,old_es024,16,undirected
old_es030,old_es028,18,undirected
old_es030,old_es029,47,undirected
old_es030,old_es032,38,undirected
old_es030,olds_es030,30,undirected
old_es032,old_es016,10,undirected
old_es032,old_es027,12,undirected
old_es032,old_es029,20,undirected
old_es032,old_es030,38,undirected
old_es032,olds_es030,28,undirected
olds_es030,old_es024,10,undirected
olds_es030,old_es028,8,undirected
olds_es030,old_es029,37,undirected
olds_es030,old_es030,30,undirected
olds_es030,old_es032,28,undirected
olds_es030,olds_es030,60,undirected
